# Bethe & Johnson EoS, , ,
# epsilon [MeV/fm^3], pressure [MeV/fm^3], baryonic_density [1/fm^3], chem_potential[MeV]
6662.84202871, 5929.10812903, 3.0, 4197.31671925
6632.4014254, 5892.69010676, 2.99273182957, 4185.17002038
6602.04896618, 5856.40803555, 2.98546365915, 4173.03924084
6571.78453539, 5820.26173701, 2.97819548872, 4160.92439846
6541.60801724, 5784.25103253, 2.9709273183, 4148.8255111
6511.5192958, 5748.37574333, 2.96365914787, 4136.74259672
6481.51825504, 5712.63569042, 2.95639097744, 4124.67567331
6451.60477876, 5677.0306946, 2.94912280702, 4112.62475896
6421.77875065, 5641.56057646, 2.94185463659, 4100.5898718
6392.04005427, 5606.22515641, 2.93458646617, 4088.57103003
6362.38857304, 5571.02425464, 2.92731829574, 4076.56825192
6332.82419024, 5535.95769113, 2.92005012531, 4064.5815558
6303.34678904, 5501.02528568, 2.91278195489, 4052.61096008
6273.95625245, 5466.22685784, 2.90551378446, 4040.65648323
6244.65246336, 5431.56222701, 2.89824561404, 4028.71814377
6215.43530452, 5397.03121233, 2.89097744361, 4016.79596031
6186.30465856, 5362.63363275, 2.88370927318, 4004.88995153
6157.26040795, 5328.36930703, 2.87644110276, 3993.00013617
6128.30243504, 5294.23805369, 2.86917293233, 3981.12653302
6099.43062203, 5260.23969105, 2.8619047619, 3969.26916098
6070.64485101, 5226.37403722, 2.85463659148, 3957.42803898
6041.94500389, 5192.6409101, 2.84736842105, 3945.60318606
6013.33096248, 5159.04012738, 2.84010025063, 3933.7946213
5984.80260843, 5125.57150652, 2.8328320802, 3922.00236385
5956.35982325, 5092.23486477, 2.82556390977, 3910.22643296
5928.00248834, 5059.03001918, 2.81829573935, 3898.46684793
5899.73048491, 5025.95678656, 2.81102756892, 3886.72362813
5871.54369406, 4993.01498353, 2.8037593985, 3874.99679303
5843.44199676, 4960.20442646, 2.79649122807, 3863.28636213
5815.4252738, 4927.52493152, 2.78922305764, 3851.59235504
5787.49340587, 4894.97631467, 2.78195488722, 3839.91479144
5759.64627348, 4862.55839162, 2.77468671679, 3828.25369106
5731.88375702, 4830.27097789, 2.76741854637, 3816.60907374
5704.20573672, 4798.11388875, 2.76015037594, 3804.98095938
5676.61209268, 4766.08693926, 2.75288220551, 3793.36936794
5649.10270485, 4734.18994426, 2.74561403509, 3781.77431948
5621.67745302, 4702.42271836, 2.73834586466, 3770.19583414
5594.33621686, 4670.78507594, 2.73107769424, 3758.63393212
5567.07887588, 4639.27683115, 2.72380952381, 3747.0886337
5539.90530942, 4607.89779794, 2.71654135338, 3735.55995926
5512.81539672, 4576.64779, 2.70927318296, 3724.04792923
5485.80901682, 4545.52662079, 2.70200501253, 3712.55256415
5458.88604864, 4514.53410357, 2.69473684211, 3701.07388461
5432.04637096, 4483.67005134, 2.68746867168, 3689.61191131
5405.28986238, 4452.93427689, 2.68020050125, 3678.16666501
5378.61640137, 4422.32659274, 2.67293233083, 3666.73816657
5352.02586623, 4391.84681122, 2.6656641604, 3655.32643692
5325.51813513, 4361.49474441, 2.65839598997, 3643.93149706
5299.09308608, 4331.27020413, 2.65112781955, 3632.55336812
5272.75059692, 4301.173002, 2.64385964912, 3621.19207126
5246.49054536, 4271.20294938, 2.6365914787, 3609.84762776
5220.31280893, 4241.35985739, 2.62932330827, 3598.52005897
5194.21726503, 4211.64353694, 2.62205513784, 3587.20938634
5168.20379089, 4182.05379865, 2.61478696742, 3575.91563139
5142.27226359, 4152.59045293, 2.60751879699, 3564.63881574
5116.42256003, 4123.25330996, 2.60025062657, 3553.37896109
5090.654557, 4094.04217964, 2.59298245614, 3542.13608923
5064.96813107, 4064.95687165, 2.58571428571, 3530.91022205
5039.36315871, 4035.99719543, 2.57844611529, 3519.70138151
5013.83951619, 4007.16296014, 2.57117794486, 3508.50958968
4988.39707963, 3978.45397473, 2.56390977444, 3497.33486871
4963.03572499, 3949.87004789, 2.55664160401, 3486.17724084
4937.75532809, 3921.41098804, 2.54937343358, 3475.03672841
4912.55576454, 3893.07660338, 2.54210526316, 3463.91335384
