# mass density [g cm-3], pressure [erg cm-3], baryon density [1/fm-3]
# Bethe & Johnson EoS, , ,
# epsilon [MeV/fm^3], pressure [MeV/fm^3], baryonic_density [1/fm^3], chem_potential[MeV]
1.187437e+16, 9.499482e+36, 3e+39
1.182011e+16, 9.441134e+36, 3e+39
1.176602e+16, 9.383004e+36, 3e+39
1.171208e+16, 9.325091e+36, 3e+39
1.165830e+16, 9.267396e+36, 3e+39
1.160468e+16, 9.209917e+36, 3e+39
1.155121e+16, 9.152655e+36, 3e+39
1.149790e+16, 9.095610e+36, 3e+39
1.144475e+16, 9.038780e+36, 3e+39
1.139175e+16, 8.982167e+36, 3e+39
1.133890e+16, 8.925769e+36, 3e+39
1.128621e+16, 8.869586e+36, 3e+39
1.123368e+16, 8.813618e+36, 3e+39
1.118130e+16, 8.757865e+36, 3e+39
1.112908e+16, 8.702326e+36, 3e+39
1.107701e+16, 8.647001e+36, 3e+39
1.102509e+16, 8.591890e+36, 3e+39
1.097333e+16, 8.536992e+36, 3e+39
1.092172e+16, 8.482308e+36, 3e+39
1.087027e+16, 8.427837e+36, 3e+39
1.081896e+16, 8.373578e+36, 3e+39
1.076782e+16, 8.319531e+36, 3e+39
1.071682e+16, 8.265697e+36, 3e+39
1.066598e+16, 8.212074e+36, 3e+39
1.061529e+16, 8.158663e+36, 3e+39
1.056475e+16, 8.105463e+36, 3e+39
1.051437e+16, 8.052474e+36, 3e+39
1.046413e+16, 7.999695e+36, 3e+39
1.041405e+16, 7.947127e+36, 3e+39
1.036412e+16, 7.894769e+36, 3e+39
1.031434e+16, 7.842620e+36, 3e+39
1.026471e+16, 7.790681e+36, 3e+39
1.021523e+16, 7.738951e+36, 3e+39
1.016591e+16, 7.687429e+36, 3e+39
1.011673e+16, 7.636116e+36, 3e+39
1.006770e+16, 7.585012e+36, 3e+39
1.001883e+16, 7.534115e+36, 3e+39
9.970098e+15, 7.483426e+36, 3e+39
9.921521e+15, 7.432944e+36, 3e+39
9.873093e+15, 7.382669e+36, 3e+39
9.824814e+15, 7.332601e+36, 3e+39
9.776684e+15, 7.282740e+36, 3e+39
9.728702e+15, 7.233084e+36, 3e+39
9.680869e+15, 7.183634e+36, 3e+39
9.633184e+15, 7.134390e+36, 3e+39
9.585648e+15, 7.085351e+36, 3e+39
9.538258e+15, 7.036517e+36, 3e+39
9.491017e+15, 6.987888e+36, 3e+39
9.443923e+15, 6.939463e+36, 3e+39
9.396976e+15, 6.891242e+36, 3e+39
9.350176e+15, 6.843224e+36, 3e+39
9.303522e+15, 6.795410e+36, 3e+39
9.257016e+15, 6.747800e+36, 3e+39
9.210655e+15, 6.700392e+36, 3e+39
9.164440e+15, 6.653186e+36, 3e+39
9.118372e+15, 6.606183e+36, 3e+39
9.072448e+15, 6.559381e+36, 3e+39
9.026671e+15, 6.512782e+36, 3e+39
8.981038e+15, 6.466383e+36, 3e+39
8.935550e+15, 6.420186e+36, 3e+39
8.890208e+15, 6.374189e+36, 3e+39
8.845009e+15, 6.328392e+36, 3e+39
8.799955e+15, 6.282796e+36, 3e+39
8.755045e+15, 6.237399e+36, 3e+39
8.710279e+15, 6.192202e+36, 3e+39
8.665656e+15, 6.147204e+36, 3e+39
8.621177e+15, 6.102404e+36, 3e+39
8.576841e+15, 6.057803e+36, 3e+39
8.532648e+15, 6.013401e+36, 3e+39
8.488597e+15, 5.969196e+36, 2e+39
8.444689e+15, 5.925189e+36, 2e+39
8.400924e+15, 5.881379e+36, 2e+39
8.357300e+15, 5.837767e+36, 2e+39
8.313818e+15, 5.794350e+36, 2e+39
8.270478e+15, 5.751130e+36, 2e+39
8.227279e+15, 5.708107e+36, 2e+39
8.184222e+15, 5.665279e+36, 2e+39
8.141305e+15, 5.622646e+36, 2e+39
8.098529e+15, 5.580208e+36, 2e+39
8.055894e+15, 5.537966e+36, 2e+39
8.013398e+15, 5.495917e+36, 2e+39
7.971043e+15, 5.454063e+36, 2e+39
7.928828e+15, 5.412403e+36, 2e+39
7.886752e+15, 5.370936e+36, 2e+39
7.844815e+15, 5.329662e+36, 2e+39
7.803018e+15, 5.288581e+36, 2e+39
7.761359e+15, 5.247693e+36, 2e+39
7.719839e+15, 5.206997e+36, 2e+39
7.678458e+15, 5.166493e+36, 2e+39
7.637214e+15, 5.126181e+36, 2e+39
7.596109e+15, 5.086060e+36, 2e+39
7.555141e+15, 5.046130e+36, 2e+39
7.514311e+15, 5.006390e+36, 2e+39
7.473618e+15, 4.966841e+36, 2e+39
7.433063e+15, 4.927482e+36, 2e+39
7.392643e+15, 4.888313e+36, 2e+39
7.352361e+15, 4.849333e+36, 2e+39
7.312215e+15, 4.810542e+36, 2e+39
7.272205e+15, 4.771939e+36, 2e+39
7.232331e+15, 4.733525e+36, 2e+39
7.192592e+15, 4.695300e+36, 2e+39
7.152989e+15, 4.657262e+36, 2e+39
7.113521e+15, 4.619411e+36, 2e+39
7.074189e+15, 4.581748e+36, 2e+39
7.034990e+15, 4.544271e+36, 2e+39
6.995927e+15, 4.506981e+36, 2e+39
6.956997e+15, 4.469877e+36, 2e+39
6.918201e+15, 4.432958e+36, 2e+39
6.879540e+15, 4.396225e+36, 2e+39
6.841012e+15, 4.359678e+36, 2e+39
6.802617e+15, 4.323315e+36, 2e+39
6.764355e+15, 4.287137e+36, 2e+39
6.726226e+15, 4.251142e+36, 2e+39
6.688229e+15, 4.215332e+36, 2e+39
6.650365e+15, 4.179705e+36, 2e+39
6.612633e+15, 4.144262e+36, 2e+39
6.575033e+15, 4.109001e+36, 2e+39
6.537564e+15, 4.073922e+36, 2e+39
6.500227e+15, 4.039026e+36, 2e+39
6.463021e+15, 4.004312e+36, 2e+39
6.425946e+15, 3.969779e+36, 2e+39
6.389001e+15, 3.935427e+36, 2e+39
6.352187e+15, 3.901257e+36, 2e+39
6.315504e+15, 3.867266e+36, 2e+39
6.278950e+15, 3.833456e+36, 2e+39
6.242525e+15, 3.799826e+36, 2e+39
6.206231e+15, 3.766375e+36, 2e+39
6.170065e+15, 3.733104e+36, 2e+39
6.134028e+15, 3.700011e+36, 2e+39
6.098121e+15, 3.667097e+36, 2e+39
6.062341e+15, 3.634360e+36, 2e+39
6.026690e+15, 3.601802e+36, 2e+39
5.991167e+15, 3.569421e+36, 2e+39
5.955771e+15, 3.537217e+36, 2e+39
5.920503e+15, 3.505190e+36, 2e+39
