# epsilon [MeV fm-3], pressure [MeV fm-3], baryon density [fm-3],chem potential [MeV]
2243.7875133225,2031.5815753339,1.000000,4275.3690886564
1963.3140741572,1651.4792160779,1.000000,3614.7932902351
1682.8406349919,1272.0009986269,1.000000,2954.8416336188
1402.3671958266,904.3814754712,1.000000,2306.7486712978
1121.8937566613,564.4738484584,1.000000,1686.3676051196
981.6570370786,406.6283859693,1.000000,1388.2854230479
841.4203174959,274.123080764,1.000000,1115.5433982599
701.1835979133,165.3351641493,1.000000,866.5187620626
560.9468783306,86.8805392585,1.000000,647.8274175891
448.7575026645,43.8958931469,1.000000,492.6533958114
392.6628148314,28.8291099738,1.000000,421.4919248052
336.5681269984,17.7318686806,1.000000,354.2999956789
280.4734391653,10.073648733,1.000000,290.5470878983
224.3787513322,4.996879291,1.000000,229.3756306232
196.3314074157,3.2823617526,1.000000,199.6137691683
168.2840634992,2.0921233304,1.000000,170.3761868296
140.2367195827,1.347522157,1.000000,141.5842417397
73.8245115399,0.396287015,0.078900,940.6945317475
44.4444144741,0.1713131846,0.047500,939.2784770252
19.0877067575,0.0463510023,0.020400,937.9440078351
8.3368385157,0.013082612,0.008910,937.140418374
5.3988361632,0.006911744,0.005770,936.8713877326
3.4900932963,0.0038653432,0.003730,936.7181338983
1.4878376152,0.0016459376,0.001590,936.7821086287
0.8227533602,0.0010580117,0.000879,937.2143024924
0.5620082247,0.0007870051,0.000600,937.9920496414
0.3750465513,0.0005455151,0.000400,938.9801659718
0.2614755498,0.0003692811,0.000279,938.5119388512
0.186514837,0.0003630009,0.000199,939.0846126569
0.1480899759,0.0002791786,0.0001581,938.4513251655
0.1175744657,0.0002053427,0.0001256,937.7373276429
0.1034386044,0.0001805018,0.0001105,937.7294676396
0.0933415606,0.0001620896,0.00009976,937.2859881814
0.0741571773,0.000126888,0.00007924,937.4566550261
0.0588433275,9.3309199850206E-005,0.00006294,936.3939742093
0.0467437034,6.8655598551991E-005,0.00005,936.2471793969
0.0371178549,5.04868306079141E-005,0.00003972,935.7588562373
0.029472149,3.71301959805268E-005,0.00003155,935.3178822019
0.0234027038,2.82611409312196E-005,0.00002506,934.9946091335
0.0185841701,2.12457870428161E-005,0.0000199,934.9455209114
0.0147585124,1.5622269379603E-005,0.00001581,934.4803692763
0.0117237898,1.20958681812508E-005,0.00001256,934.385798192
0.0093061087,0.000008894,0.000009976,933.741252228
0.0073932799,0.000006541,0.000007924,933.8491749766
0.0058675043,4.80714018224941E-006,0.000006294,933.0015073913
0.0046631514,3.53389090001248E-006,0.000005,933.3370580925
0.0037033713,2.72250655348895E-006,0.000003972,933.0548331552
0.0023357828,1.47047809262264E-006,0.000002506,932.6629207747
0.0014730465,7.93908375983023E-007,0.000001581,932.2203737332
0.000929489,4.28161278242417E-007,9.976E-007,932.1543090137
0.0007382061,3.14317813007115E-007,7.924E-007,932.0045553964
0.0005861895,2.57708151291974E-007,6.294E-007,931.7559517108
0.000465642,1.89052552739983E-007,0.0000005,931.66211251
0.0002937679,1.01672700037449E-007,3.155E-007,931.4407381356
0.0001853368,5.45375109224816E-008,0.000000199,931.6150055847
0.0001471925,4.16677069030084E-008,1.581E-007,931.2721605367
7.37645145004768E-005,1.62526526026713E-008,7.924E-008,931.1050877471
3.6966399281988E-005,6.27886655848209E-009,3.972E-008,930.832783196
1.85224659224771E-005,2.39233553863438E-009,1.99E-008,930.8973999003
9.2836708363718E-006,8.95643490200974E-010,0.00000001,930.6903047175
4.65249340887418E-006,3.28236175259019E-010,0.000000005,930.5643290099
3.69551803444214E-006,2.44101859942579E-010,0.000000004,930.4537100458
1.47080271498289E-006,6.08850330795157E-011,1.581E-009,930.3375079165
5.85628540977169E-007,1.44676070403196E-011,6.294E-010,930.4782468767
2.33129522634207E-007,3.28673074522531E-012,2.506E-010,930.2985210094
9.27806136758849E-008,7.18387217575833E-013,9.976E-011,930.0454296622
3.69495708756381E-008,1.517288727999E-013,3.972E-011,930.2548490562
1.47080271498289E-008,3.10073648732992E-014,1.581E-011,930.3009587093
5.85628540977169E-009,6.08163774809637E-015,6.295E-012,930.3084180158
6.45088910080215E-010,1.18586942953439E-016,6.93E-013,930.8643992311
1.18920738206092E-010,3.63250530520534E-018,1.27E-013,936.3837940047
2.52987042127111E-011,1.06104106853077E-019,2.72E-014,930.0994234859
9.1995288046222E-012,8.7379852702534E-021,9.9E-015,929.2453346828
6.50698378863522E-012,7.55211584071901E-022,6.99E-015,930.8989684393
4.57171705839457E-012,6.30383223068281E-023,4.91E-015,931.1032705616
4.43148033881192E-012,6.30383223068281E-024,4.76E-015,930.9832644576
4.40960341055702E-012,6.30383223068281E-025,4.73E-015,932.2628774963
