#rho [fm-3], epsilon [g cm-3], pressure [dyne cm2]
4.730E-015, 7.861E+000, 1.010E+009
4.760E-015, 7.900E+000, 1.010E+010
4.910E-015, 8.150E+000, 1.010E+011
6.990E-015, 1.160E+001, 1.210E+012
9.900E-015, 1.640E+001, 1.400E+013
2.720E-014, 4.510E+001, 1.700E+014
1.270E-013, 2.120E+002, 5.820E+015
6.930E-013, 1.150E+003, 1.900E+017
6.295E-012, 1.044E+004, 9.744E+018
1.581E-011, 2.622E+004, 4.968E+019
3.972E-011, 6.587E+004, 2.431E+020
9.976E-011, 1.654E+005, 1.151E+021
2.506E-010, 4.156E+005, 5.266E+021
6.294E-010, 1.044E+006, 2.318E+022
1.581E-009, 2.622E+006, 9.755E+022
3.972E-009, 6.588E+006, 3.911E+023
5.000E-009, 8.294E+006, 5.259E+023
9.976E-009, 1.655E+007, 1.435E+024
1.990E-008, 3.302E+007, 3.833E+024
3.972E-008, 6.590E+007, 1.006E+025
7.924E-008, 1.315E+008, 2.604E+025
1.581E-007, 2.624E+008, 6.676E+025
1.990E-007, 3.304E+008, 8.738E+025
3.155E-007, 5.237E+008, 1.629E+026
5.000E-007, 8.301E+008, 3.029E+026
6.294E-007, 1.045E+009, 4.129E+026
7.924E-007, 1.316E+009, 5.036E+026
9.976E-007, 1.657E+009, 6.860E+026
1.581E-006, 2.626E+009, 1.272E+027
2.506E-006, 4.164E+009, 2.356E+027
3.972E-006, 6.602E+009, 4.362E+027
5.000E-006, 8.313E+009, 5.662E+027
6.294E-006, 1.046E+010, 7.702E+027
7.924E-006, 1.318E+010, 1.048E+028
9.976E-006, 1.659E+010, 1.425E+028
1.256E-005, 2.090E+010, 1.938E+028
1.581E-005, 2.631E+010, 2.503E+028
1.990E-005, 3.313E+010, 3.404E+028
2.506E-005, 4.172E+010, 4.628E+028
3.155E-005, 5.254E+010, 5.949E+028
3.972E-005, 6.617E+010, 8.089E+028
5.000E-005, 8.333E+010, 1.100E+029
6.294E-005, 1.049E+011, 1.495E+029
7.924E-005, 1.322E+011, 2.033E+029
9.976E-005, 1.664E+011, 2.597E+029
1.105E-004, 1.844E+011, 2.892E+029
1.256E-004, 2.096E+011, 3.290E+029
1.581E-004, 2.640E+011, 4.473E+029
1.990E-004, 3.325E+011, 5.816E+029
2.506E-004, 4.188E+011, 7.538E+029
2.572E-004, 4.299E+011, 7.805E+029
2.670E-004, 4.460E+011, 7.890E+029
3.126E-004, 5.228E+011, 8.352E+029
3.951E-004, 6.610E+011, 9.098E+029
4.759E-004, 7.964E+011, 9.831E+029
5.812E-004, 9.728E+011, 1.083E+030
7.143E-004, 1.196E+012, 1.218E+030
8.786E-004, 1.471E+012, 1.399E+030
1.077E-003, 1.805E+012, 1.638E+030
1.314E-003, 2.202E+012, 1.950E+030
1.748E-003, 2.930E+012, 2.592E+030
2.287E-003, 3.833E+012, 3.506E+030
2.942E-003, 4.933E+012, 4.771E+030
3.726E-003, 6.248E+012, 6.481E+030
4.650E-003, 7.801E+012, 8.748E+030
5.728E-003, 9.612E+012, 1.170E+031
7.424E-003, 1.246E+013, 1.695E+031
8.907E-003, 1.496E+013, 2.209E+031
