##################################################################################
# Harrison Wheeler - Low Density EoS
##################################################################################
# energy density [MeV fm-3], pressure [MeV fm-3], baryon density [1/fm-3], chemical potential [MeV]
4.409357e-12, 6.303922e-25, 4.730000e-15, 932.210787
4.420577e-12, 3.164444e-24, 4.750000e-15, 930.647740
4.431797e-12, 6.303922e-24, 4.760000e-15, 931.049685
4.521554e-12, 3.164444e-23, 4.850000e-15, 932.279259
4.572043e-12, 6.303922e-23, 4.910000e-15, 931.169700
6.507448e-12, 7.552223e-22, 6.990000e-15, 930.965383
9.200185e-12, 8.738110e-21, 9.900000e-15, 929.311631
1.458566e-11, 2.752505e-20, 1.570000e-14, 929.022892
2.530051e-11, 1.054815e-19, 2.720000e-14, 930.165781
4.947904e-11, 5.280315e-19, 5.320000e-14, 930.057237
1.183682e-10, 3.632557e-18, 1.270000e-13, 932.033380
3.954958e-10, 4.512610e-17, 4.250000e-13, 930.578374
6.451349e-10, 1.185886e-16, 6.930000e-13, 930.930811
1.155633e-09, 3.501485e-16, 1.240000e-12, 931.962388
2.793715e-09, 1.778829e-15, 3.000000e-12, 931.238845
9.312383e-09, 1.529169e-14, 9.980000e-12, 933.105993
4.656191e-08, 2.559018e-13, 5.000000e-11, 931.243370
1.856867e-07, 2.783712e-12, 2.000000e-10, 928.447236
5.609869e-07, 1.747622e-11, 6.020000e-10, 931.900955
1.351978e-06, 7.552223e-11, 1.450000e-09, 932.450999
4.487895e-06, 5.592390e-10, 4.820000e-09, 931.214612
2.586150e-05, 4.056980e-09, 2.770000e-08, 933.774477
4.241061e-05, 7.552223e-09, 4.550000e-08, 932.267292
5.722066e-04, 1.984799e-07, 6.150000e-07, 930.740027
1.767109e-03, 1.086022e-06, 1.900000e-06, 930.628818
1.301490e-02, 1.385615e-05, 1.390000e-05, 937.320302
3.882029e-02, 5.305281e-05, 4.150000e-05, 936.707138
5.609869e-02, 8.738110e-05, 1.000000e-03, 56.186071
1.121974e-01, 1.959833e-04, 2.000000e-03, 56.196682
2.249557e-01, 4.468919e-04, 3.000000e-03, 75.134213
4.499115e-01, 6.491167e-04, 4.000000e-03, 112.640152
5.609869e-01, 7.864299e-04, 5.000000e-03, 112.354666
1.121974e+00, 1.323199e-03, 6.000000e-03, 187.216166
2.249557e+00, 2.359290e-03, 7.000000e-03, 321.702393
4.499115e+00, 5.324005e-03, 8.000000e-03, 563.054867
5.609869e+00, 7.240148e-03, 9.000000e-03, 624.123237
# energy density [MeV fm-3], pressure [MeV fm-3], baryon density [1/fm-3], chemical potential [MeV]
