##################################################################################
# High Density EoS
##################################################################################
# energy density [MeV fm-3], pressure [MeV fm-3], baryon density [1/fm-3], chemical potential [MeV]
9.397653, 0.002496, 0.010000, 940.014876
14.098162, 0.002142, 0.015000, 940.020281
18.798671, 0.003414, 0.020000, 940.104251
23.499741, 0.008075, 0.025000, 940.312658
28.202494, 0.017758, 0.030000, 940.675069
56.485771, 0.248918, 0.060000, 945.578140
84.972686, 0.896218, 0.090000, 954.098928
113.756923, 2.055391, 0.120000, 965.102617
142.888973, 3.722435, 0.150000, 977.409385
172.408104, 5.894854, 0.180000, 990.571985
202.336755, 8.636373, 0.210000, 1004.633942
232.686146, 11.988687, 0.240000, 1019.478469
263.512376, 15.992613, 0.270000, 1035.203664
294.809835, 20.689972, 0.300000, 1051.666022
326.584133, 24.851808, 0.330000, 1064.957398
358.695023, 28.549901, 0.360000, 1075.680346
391.136895, 32.555701, 0.390000, 1086.391272
423.876091, 36.954715, 0.420000, 1097.216204
456.968708, 41.796876, 0.450000, 1108.367964
490.381088, 47.122754, 0.480000, 1119.799670
524.146889, 52.701413, 0.510000, 1131.075102
558.249283, 58.153993, 0.540000, 1141.487548
592.626560, 63.800685, 0.570000, 1151.626745
627.351649, 69.723875, 0.600000, 1161.792539
662.357231, 75.959140, 0.630000, 1171.930749
697.643307, 82.543930, 0.660000, 1182.101875
733.265975, 89.496969, 0.690000, 1192.410064
769.225236, 96.836981, 0.720000, 1202.864190
805.464989, 104.588933, 0.750000, 1213.405230
841.985236, 112.765307, 0.780000, 1224.039158
878.898174, 121.372345, 0.810000, 1234.901876
916.091606, 130.441255, 0.840000, 1245.872453
953.621629, 139.972036, 0.870000, 1257.004213
991.488245, 149.427919, 0.900000, 1267.684627
1029.691453, 158.758972, 0.930000, 1277.903683
1068.231253, 168.227338, 0.960000, 1287.977699
1106.995447, 177.895433, 0.990000, 1297.869576
1146.096234, 187.788221, 1.020000, 1307.729858
1185.421416, 197.961878, 1.050000, 1317.507898
1225.139288, 208.441368, 1.080000, 1327.389496
1265.081556, 219.232933, 1.110000, 1337.220260
1305.360415, 230.105639, 1.140000, 1346.900047
1345.863669, 239.405484, 1.170000, 1354.930900
1386.647417, 248.106145, 1.200000, 1362.294634
1427.599460, 256.494730, 1.230000, 1369.182269
1468.775898, 264.540033, 1.260000, 1375.647564
1510.176732, 271.449381, 1.290000, 1381.105514
1551.633663, 277.210292, 1.320000, 1385.487845
# energy density [MeV fm-3], pressure [MeV fm-3], baryon density [1/fm-3], chemical potential [MeV]
