##################################################################################
# Harrison Wheeler - Low Density EoS
##################################################################################
# energy density [MeV fm-3], pressure [MeV fm-3], baryon density [1/fm-3], chemical potential [MeV]
4.409357e-12, 6.303922e-25, 4.730000e-15, 932.210787
4.420577e-12, 3.164444e-24, 4.750000e-15, 930.647740
4.431797e-12, 6.303922e-24, 4.760000e-15, 931.049685
4.521554e-12, 3.164444e-23, 4.850000e-15, 932.279259
4.572043e-12, 6.303922e-23, 4.910000e-15, 931.169700
6.507448e-12, 7.552223e-22, 6.990000e-15, 930.965383
9.200185e-12, 8.738110e-21, 9.900000e-15, 929.311631
1.458566e-11, 2.752505e-20, 1.570000e-14, 929.022892
2.530051e-11, 1.054815e-19, 2.720000e-14, 930.165781
4.947904e-11, 5.280315e-19, 5.320000e-14, 930.057237
1.183682e-10, 3.632557e-18, 1.270000e-13, 932.033380
3.954958e-10, 4.512610e-17, 4.250000e-13, 930.578374
6.451349e-10, 1.185886e-16, 6.930000e-13, 930.930811
1.155633e-09, 3.501485e-16, 1.240000e-12, 931.962388
2.793715e-09, 1.778829e-15, 3.000000e-12, 931.238845
9.312383e-09, 1.529169e-14, 9.980000e-12, 933.105993
4.656191e-08, 2.559018e-13, 5.000000e-11, 931.243370
1.856867e-07, 2.783712e-12, 2.000000e-10, 928.447236
5.609869e-07, 1.747622e-11, 6.020000e-10, 931.900955
1.351978e-06, 7.552223e-11, 1.450000e-09, 932.450999
4.487895e-06, 5.592390e-10, 4.820000e-09, 931.214612
2.586150e-05, 4.056980e-09, 2.770000e-08, 933.774477
4.241061e-05, 7.552223e-09, 4.550000e-08, 932.267292
5.722066e-04, 1.984799e-07, 6.150000e-07, 930.740027
1.767109e-03, 1.086022e-06, 1.900000e-06, 930.628818
1.301490e-02, 1.385615e-05, 1.390000e-05, 937.320302
3.882029e-02, 5.305281e-05, 4.150000e-05, 936.707138
5.609869e-02, 8.738110e-05, 1.000000e-03, 56.186071
1.121974e-01, 1.959833e-04, 2.000000e-03, 56.196682
2.249557e-01, 4.468919e-04, 3.000000e-03, 75.134213
4.499115e-01, 6.491167e-04, 4.000000e-03, 112.640152
5.609869e-01, 7.864299e-04, 5.000000e-03, 112.354666
1.121974e+00, 1.323199e-03, 6.000000e-03, 187.216166
2.249557e+00, 2.359290e-03, 7.000000e-03, 321.702393
4.499115e+00, 5.324005e-03, 8.000000e-03, 563.054867
5.609869e+00, 7.240148e-03, 9.000000e-03, 624.123237
# energy density [MeV fm-3], pressure [MeV fm-3], baryon density [1/fm-3], chemical potential [MeV]
##################################################################################
# High Density EoS
##################################################################################
# energy density [MeV fm-3], pressure [MeV fm-3], baryon density [1/fm-3], chemical potential [MeV]
9.397653, 0.002496, 0.010000, 940.014876
14.098162, 0.002142, 0.015000, 940.020281
18.798671, 0.003414, 0.020000, 940.104251
23.499741, 0.008075, 0.025000, 940.312658
28.202494, 0.017758, 0.030000, 940.675069
56.485771, 0.248918, 0.060000, 945.578140
84.972686, 0.896218, 0.090000, 954.098928
113.756923, 2.055391, 0.120000, 965.102617
142.888973, 3.722435, 0.150000, 977.409385
172.408104, 5.894854, 0.180000, 990.571985
202.336755, 8.636373, 0.210000, 1004.633942
232.686146, 11.988687, 0.240000, 1019.478469
263.512376, 15.992613, 0.270000, 1035.203664
294.809835, 20.689972, 0.300000, 1051.666022
326.584133, 24.851808, 0.330000, 1064.957398
358.695023, 28.549901, 0.360000, 1075.680346
391.136895, 32.555701, 0.390000, 1086.391272
423.876091, 36.954715, 0.420000, 1097.216204
456.968708, 41.796876, 0.450000, 1108.367964
490.381088, 47.122754, 0.480000, 1119.799670
524.146889, 52.701413, 0.510000, 1131.075102
558.249283, 58.153993, 0.540000, 1141.487548
592.626560, 63.800685, 0.570000, 1151.626745
627.351649, 69.723875, 0.600000, 1161.792539
662.357231, 75.959140, 0.630000, 1171.930749
697.643307, 82.543930, 0.660000, 1182.101875
733.265975, 89.496969, 0.690000, 1192.410064
769.225236, 96.836981, 0.720000, 1202.864190
805.464989, 104.588933, 0.750000, 1213.405230
841.985236, 112.765307, 0.780000, 1224.039158
878.898174, 121.372345, 0.810000, 1234.901876
916.091606, 130.441255, 0.840000, 1245.872453
953.621629, 139.972036, 0.870000, 1257.004213
991.488245, 149.427919, 0.900000, 1267.684627
1029.691453, 158.758972, 0.930000, 1277.903683
1068.231253, 168.227338, 0.960000, 1287.977699
1106.995447, 177.895433, 0.990000, 1297.869576
1146.096234, 187.788221, 1.020000, 1307.729858
1185.421416, 197.961878, 1.050000, 1317.507898
1225.139288, 208.441368, 1.080000, 1327.389496
1265.081556, 219.232933, 1.110000, 1337.220260
1305.360415, 230.105639, 1.140000, 1346.900047
1345.863669, 239.405484, 1.170000, 1354.930900
1386.647417, 248.106145, 1.200000, 1362.294634
1427.599460, 256.494730, 1.230000, 1369.182269
1468.775898, 264.540033, 1.260000, 1375.647564
1510.176732, 271.449381, 1.290000, 1381.105514
1551.633663, 277.210292, 1.320000, 1385.487845
# energy density [MeV fm-3], pressure [MeV fm-3], baryon density [1/fm-3], chemical potential [MeV]
