#energia,  pressao,  rho, mu_B
1674.9229819, 526.7770235003, 1.3271269449, 1658.9972902966
1671.8716342612, 525.450815535, 1.325286302, 1657.9983106605
1668.8324886101, 524.1264476624, 1.3234521932, 1656.9989815694
1665.8154549149, 522.8039075503, 1.3216322039, 1655.9973009472
1662.8120782148, 521.4831855211, 1.3198176285, 1654.9977941073
1659.8216869125, 520.164274174, 1.3180095612, 1653.9985940003
1656.8411830556, 518.8471675806, 1.316206138, 1652.9996995392
1653.8695623453, 517.5318610416, 1.3144085758, 1651.998825507
1650.904462129, 516.2183509781, 1.3126137316, 1650.9981276028
1647.9435804725, 514.906634904, 1.3108208296, 1649.9968313634
1644.9851616443, 513.5967114736, 1.3090266898, 1648.9976025006
1642.0273517955, 512.288580612, 1.30723302, 1647.9968753815
1639.0662062196, 510.9822437688, 1.3054352291, 1646.9974166552
1636.0988958316, 509.6777043758, 1.3036337418, 1645.9965183727
1633.118913734, 508.3749686819, 1.301822841, 1644.9963965246
1630.116816083, 507.074047422, 1.2999989688, 1643.9942760417
1627.0715454515, 505.7749596841, 1.2981419845, 1642.999402727
1623.9236906039, 504.4777452885, 1.2962263875, 1641.9982314768
1620.7421649916, 503.1825024989, 1.2942934064, 1640.9916460458
1618.032601428, 501.8890072942, 1.2926365611, 1639.9981808635
1615.3253173432, 500.59716329, 1.2909855265, 1638.9978332641
1612.6227276361, 499.3069692039, 1.2893365942, 1637.9971733679
1609.921683649, 498.0184238462, 1.2876840551, 1637.0010167996
1607.2341672354, 496.7315261113, 1.2860484926, 1635.992503683
1603.8673649489, 495.4463337975, 1.2839860816, 1634.9972393696
1600.4355247047, 494.1634094556, 1.2818841165, 1634.0002244628
1597.3176440239, 492.8824677999, 1.2799748168, 1633.0009656804
1594.299902187, 491.6034052198, 1.2781278145, 1631.9989940107
1591.3366847154, 490.3261768715, 1.2763109817, 1630.9997260947
1588.407858776, 489.0507556163, 1.2745103073, 1630.0053459652
1585.5083308637, 487.777122762, 1.2727297378, 1629.0068441677
1582.6312918026, 486.5052645099, 1.2709689191, 1627.9993359509
1579.76948395, 485.2351702844, 1.2692127546, 1626.9964564345
1576.9193389741, 483.9668317643, 1.2674590347, 1625.9982487058
1574.0817828213, 482.7002423753, 1.2657152101, 1624.9958985477
1571.250948144, 481.4353969426, 1.2639711698, 1623.9977573178
1568.4279900163, 480.1722915025, 1.2622333916, 1622.9964245089
1565.6087101119, 478.910923187, 1.2604946453, 1621.9978728002
1562.7933240297, 477.6512901931, 1.2587590889, 1620.9969263828
1559.9783342178, 476.3933918127, 1.2570208593, 1619.9983564614
1557.1635902803, 475.1372285459, 1.2552843191, 1618.9964201153
1554.3454103663, 473.8828023184, 1.2535443611, 1617.9947639829
1551.5192597596, 472.6301168683, 1.2517974737, 1616.9942975507
1548.6773066686, 471.3791784345, 1.2500342039, 1616.0009692262
1545.8174193403, 470.1299970853, 1.2482634152, 1615.0016029213
1542.9233529888, 468.8825895447, 1.2464735347, 1613.9981206613
1539.9509997909, 467.6369871243, 1.244630163, 1612.9996256106
1536.8534964656, 466.3932529616, 1.2426993993, 1612.012326182
1533.9842902166, 465.1514157337, 1.2409326622, 1610.9945099361
1531.4083972704, 463.9112090341, 1.2393360014, 1609.9908370684
1528.8333807434, 462.6726007025, 1.2377327112, 1608.9951921609
1526.256718356, 461.4355912451, 1.2361297019, 1607.9965610414
1523.6762548279, 460.2001819578, 1.2345228728, 1606.998525943
1521.0945255819, 458.9663755468, 1.232921134, 1605.9915322
1518.5010474908, 457.7341775768, 1.2312995965, 1604.9994905416
1515.9741152955, 456.5035688959, 1.2297232775, 1604.0012580417
1513.4516085712, 455.2745343063, 1.2281511801, 1602.9998381736
1510.9304280623, 454.047072824, 1.2265755361, 1602.0028469875
1508.4145259551, 452.8211835135, 1.2250067925, 1600.9998650033
1505.90224166, 451.5968655089, 1.2234418154, 1599.993626632
1503.3883936721, 450.3741179659, 1.2218659649, 1598.9990455138
1500.8787434481, 449.1529401358, 1.2202957931, 1597.9991856351
1498.3719867295, 447.9333312969, 1.2187266687, 1596.9990383788
1495.8670225205, 446.7152907895, 1.2171568846, 1595.9999387995
1493.3574112297, 445.4988180014, 1.2155803603, 1595.0045694828
1490.8578459486, 444.2839124146, 1.2140103905, 1594.0075747911
1488.3643106251, 443.0705735127, 1.2124487352, 1593.0033394976
1485.8734117026, 441.8588008832, 1.2108902479, 1591.9958195234
1483.3826346937, 440.6485941642, 1.2093281031, 1590.9919101982
1480.2162329447, 439.4402126305, 1.2073310355, 1590.0000821258
1477.4059932696, 438.2336897834, 1.205562244, 1589.0010595658
1474.6734934744, 437.028915458, 1.203843837, 1587.9986674116
1471.975778447, 435.8258548375, 1.2021414769, 1587.0025865982
1469.309849452, 434.6244889363, 1.200470661, 1585.9898957119
1466.6506146556, 433.424805855, 1.1987915007, 1584.9924022098
1464.0026811937, 432.2267978647, 1.1971197744, 1583.9931137982
1461.3602164443, 431.0304600944, 1.195448929, 1582.9958358619
1458.7227983284, 429.8357900018, 1.193784171, 1581.9933236153
1456.0832757315, 428.6427872357, 1.1921158022, 1580.9924333782
1453.4380092864, 427.4514538864, 1.1904425645, 1579.9917772588
1450.7780763477, 426.2617952305, 1.188751025, 1579.0016850683
1448.0994484081, 425.0738215865, 1.1870565555, 1577.9983365613
1445.369149645, 423.8875531657, 1.1853243158, 1577.0002166781
1442.4848576646, 422.7030406117, 1.1834954028, 1575.9992762526
1439.9247386105, 421.5202946124, 1.1818696156, 1575.0003288214
1437.5058359824, 420.3390952905, 1.1803320442, 1574.0019432807
1435.0906299652, 419.1594345892, 1.1787991834, 1572.9991085103
1432.6772519995, 417.981311427, 1.1772638073, 1571.9998796711
1430.2671333238, 416.8047247875, 1.1757306345, 1570.9991760856
1427.8587322995, 415.6296737156, 1.1741955033, 1570.0012483935
1425.4546644404, 414.4561573126, 1.1726649752, 1568.9995528714
1423.0536239414, 413.284174733, 1.1711356403, 1567.9975363451
1420.6517030115, 412.1137251797, 1.1696003674, 1567.0014128214
1418.2557211829, 410.944807904, 1.1680727269, 1565.9988345662
1415.8606127389, 409.7774222004, 1.1665427402, 1564.9988396983
1413.4678046053, 408.6115674057, 1.1650130911, 1563.9990537284
1411.0766404596, 407.447242897, 1.1634825461, 1563.0005705345
1408.6883529491, 406.2844480902, 1.1619547793, 1561.9995143634
1406.3017163986, 405.123182439, 1.160426171, 1560.9996948993
1403.9165320932, 403.9634454333, 1.1588967613, 1560.0008886473
1401.5337968175, 402.8052365992, 1.1573686791, 1559.0010910255
1399.1533226266, 401.6485554976, 1.1558419511, 1558.00010231
1396.7738911328, 400.4934017252, 1.1543136777, 1557.0007768566
1394.396489082, 399.3397749133, 1.1527866952, 1556.0001442364
1392.0213689158, 398.1876747293, 1.1512607974, 1554.9987003095
1389.6460709378, 397.0371008764, 1.1497318043, 1553.9999547273
