# energy density [MeV fm-3], pressure [MeV fm-3], baryon density [1/fm-3], chemical potential [MeV]
3.978846, 0.001689, 0.004235, 940.000000
5.528498, 0.002186, 0.005883, 940.100000
8.303639, 0.002901, 0.008835, 940.200000
11.504855, 0.003951, 0.012240, 940.300000
14.288548, 0.005330, 0.015200, 940.400000
16.433187, 0.006972, 0.017480, 940.500000
18.311303, 0.008827, 0.019477, 940.600000
19.935382, 0.010866, 0.021204, 940.700000
21.381385, 0.013065, 0.022741, 940.800000
22.697994, 0.015411, 0.024140, 940.900000
23.915259, 0.017891, 0.025434, 941.000000
25.052453, 0.020495, 0.026642, 941.100000
26.123624, 0.023217, 0.027780, 941.200000
27.139201, 0.026050, 0.028859, 941.300000
28.107233, 0.028988, 0.029888, 941.400000
29.034051, 0.032026, 0.030872, 941.500000
29.924614, 0.035161, 0.031818, 941.600000
30.782820, 0.038389, 0.032729, 941.700000
31.612199, 0.041706, 0.033610, 941.800000
32.415481, 0.045110, 0.034463, 941.900000
33.207242, 0.048598, 0.035303, 942.000000
33.962563, 0.052167, 0.036105, 942.100000
34.691335, 0.055816, 0.036879, 942.200000
35.419433, 0.059542, 0.037651, 942.300000
36.114183, 0.063344, 0.038389, 942.400000
36.807721, 0.067220, 0.039124, 942.500000
37.473852, 0.071167, 0.039831, 942.600000
38.136373, 0.075185, 0.040533, 942.700000
38.778478, 0.079273, 0.041215, 942.800000
39.412213, 0.083428, 0.041887, 942.900000
40.034546, 0.087650, 0.042547, 943.000000
40.648179, 0.091937, 0.043197, 943.100000
41.248081, 0.096289, 0.043833, 943.200000
41.840218, 0.100703, 0.044461, 943.300000
42.423149, 0.105180, 0.045079, 943.400000
42.995187, 0.109719, 0.045685, 943.500000
43.559925, 0.114317, 0.046285, 943.600000
44.117149, 0.118975, 0.046875, 943.700000
44.665905, 0.123692, 0.047456, 943.800000
45.207409, 0.128467, 0.048029, 943.900000
45.743162, 0.133298, 0.048597, 944.000000
46.271669, 0.138186, 0.049157, 944.100000
46.792689, 0.143130, 0.049709, 944.200000
47.308946, 0.148128, 0.050256, 944.300000
47.818350, 0.153181, 0.050795, 944.400000
48.324029, 0.158287, 0.051331, 944.500000
48.821063, 0.163447, 0.051857, 944.600000
49.311931, 0.168659, 0.052376, 944.700000
49.799271, 0.173923, 0.052892, 944.800000
50.283983, 0.179238, 0.053405, 944.900000
50.764541, 0.184604, 0.053914, 945.000000
51.233546, 0.190020, 0.054410, 945.100000
51.704801, 0.195487, 0.054909, 945.200000
52.168303, 0.201002, 0.055399, 945.300000
52.625719, 0.206566, 0.055883, 945.400000
53.081380, 0.212179, 0.056365, 945.500000
53.534473, 0.217840, 0.056844, 945.600000
53.980753, 0.223548, 0.057316, 945.700000
54.427195, 0.229303, 0.057788, 945.800000
54.866225, 0.235105, 0.058252, 945.900000
55.300860, 0.240954, 0.058712, 946.000000
55.735211, 0.246848, 0.059171, 946.100000
56.162033, 0.252788, 0.059622, 946.200000
56.589625, 0.258773, 0.060074, 946.300000
57.011796, 0.264803, 0.060520, 946.400000
57.430053, 0.270877, 0.060962, 946.500000
57.847582, 0.276996, 0.061403, 946.600000
58.260556, 0.283158, 0.061839, 946.700000
58.671864, 0.289364, 0.062274, 946.800000
59.075638, 0.295613, 0.062700, 946.900000
59.481002, 0.301904, 0.063128, 947.000000
59.881520, 0.308239, 0.063551, 947.100000
60.280899, 0.314615, 0.063973, 947.200000
60.678057, 0.321034, 0.064392, 947.300000
61.070451, 0.327494, 0.064806, 947.400000
61.463222, 0.333995, 0.065221, 947.500000
61.850586, 0.340538, 0.065629, 947.600000
