ERG_TO_MEV              ,6.241506E+005,,,,,,,
CM_TO_FM                ,1.000000E+013,,,,,,,
FM3_TO_CM3              ,1.000000E+039,,,,,,,
,,,,,,,,
LIGHT_SPEED_CGS,2.998000E+010,,,,,,,
LIGHT_SPEED_CGS_2,8.988004E+020,,,,,,,
LIGHT_SPEED_FM,2.998000E+023,fm/s,,,,,,
LIGHT_SPEED_FM_2,8.988004E+046,,,,,,,
,,,,,,,,
,,,,,,,,
# rho[g/cm^3] , P[dyn/cm^2],  n_B[cm^{-3}] , mu [erg],,# epsilon[Mev/fm^3] , P[Mev/fm^3] ,  n_B[fm^{-3}] , mu [MeV]
6.749E+015,5.344E+036,1.997E+039,0.0057135723,,3786.1002646816,3335.4610628906,1.997,3566.129858574
6.685E+015,5.274E+036,1.987E+039,0.0056781483,,3750.1971061486,3291.7705175309,1.987,3544.0199414592
6.622E+015,5.205E+036,1.977E+039,0.0056433264,,3714.8549344676,3248.7041228192,1.977,3522.2858155219
6.56E+015,5.136E+036,1.967E+039,0.0056086073,,3680.0737496387,3205.6377281075,1.967,3500.6159012436
6.498E+015,5.068E+036,1.957E+039,0.0055740445,,3645.2925648098,3163.1954840437,1.957,3479.0434587908
6.436E+015,5E+036,1.947E+039,0.0055391265,,3610.5113799809,3120.75323998,1.947,3457.2494195998
6.374E+015,4.933E+036,1.937E+039,0.0055043644,,3575.730195152,3078.9351465643,1.937,3435.5525770347
6.313E+015,4.866E+036,1.927E+039,0.0054697078,,3541.5099971751,3037.1170531485,1.927,3413.9216659697
6.253E+015,4.8E+036,1.917E+039,0.0054356802,,3507.8507860504,2995.9231103808,1.917,3392.6833053893
6.192E+015,4.734E+036,1.907E+039,0.0054008244,,3473.6305880736,2954.7291676131,1.907,3370.9280312987
6.132E+015,4.669E+036,1.897E+039,0.005366602,,3439.9713769488,2914.1593754933,1.897,3349.568135183
6.073E+015,4.605E+036,1.887E+039,0.0053330232,,3406.8731526762,2874.2137340216,1.887,3328.6099028605
6.014E+015,4.541E+036,1.877E+039,0.0052990866,,3373.7749284035,2834.2680925498,1.877,3307.4283542639
5.955E+015,4.477E+036,1.867E+039,0.0052647865,,3340.6767041308,2794.3224510781,1.867,3286.0199010225
5.896E+015,4.414E+036,1.857E+039,0.0052306554,,3307.5784798582,2755.0009602544,1.857,3264.716984444
5.838E+015,4.351E+036,1.847E+039,0.0051966414,,3275.0412424376,2715.6794694306,1.847,3243.487120665
5.781E+015,4.29E+036,1.837E+039,0.0051638351,,3243.0649918691,2677.6062799028,1.837,3223.0110352596
5.724E+015,4.228E+036,1.827E+039,0.0051301223,,3211.0887413006,2638.9089397271,1.827,3201.969174071
5.667E+015,4.167E+036,1.817E+039,0.0050965888,,3179.1124907321,2600.8357501993,1.817,3181.0392079975
5.61E+015,4.107E+036,1.807E+039,0.0050632375,,3147.1362401636,2563.3867113196,1.807,3160.2229947333
5.554E+015,4.047E+036,1.797E+039,0.0050300153,,3115.7209764471,2525.9376724398,1.797,3139.4872837434
5.498E+015,3.987E+036,1.787E+039,0.0049964212,,3084.3057127307,2488.4886335601,1.787,3118.5194998829
5.443E+015,3.928E+036,1.777E+039,0.0049635175,,3053.4514358664,2451.6637453283,1.777,3097.9826568344
5.388E+015,3.87E+036,1.767E+039,0.0049308073,,3022.597159002,2415.4630077445,1.767,3077.5665912544
5.333E+015,3.812E+036,1.757E+039,0.0048977248,,2991.7428821377,2379.2622701608,1.757,3056.9181287982
5.279E+015,3.755E+036,1.747E+039,0.0048653505,,2961.4495921254,2343.685683225,1.747,3036.7116630512
5.225E+015,3.698E+036,1.737E+039,0.0048326034,,2931.1563021131,2308.1090962892,1.737,3016.2725379403
5.171E+015,3.642E+036,1.727E+039,0.0048000561,,2900.8630121009,2273.1566600014,1.727,2995.9581193412
5.118E+015,3.586E+036,1.717E+039,0.0047676531,,2871.1307089407,2238.2042237137,1.717,2975.7337988668
5.065E+015,3.53E+036,1.707E+039,0.0047348705,,2841.3984057805,2203.2517874259,1.707,2955.2725209176
5.013E+015,3.475E+036,1.697E+039,0.0047028205,,2812.2270894724,2168.9235017861,1.697,2935.2684686261
4.961E+015,3.421E+036,1.687E+039,0.0046709833,,2783.0557731642,2135.2193667943,1.687,2915.3972376755
4.909E+015,3.367E+036,1.677E+039,0.0046387663,,2753.8844568561,2101.5152318025,1.677,2895.2890212634
4.857E+015,3.314E+036,1.667E+039,0.0046067628,,2724.713140548,2068.4352474588,1.667,2875.3139700101
4.806E+015,3.261E+036,1.657E+039,0.0045749153,,2696.102811092,2035.355263115,1.657,2855.4363755021
4.756E+015,3.209E+036,1.647E+039,0.0045438341,,2668.053468488,2002.8994294192,1.647,2836.0369750499
4.705E+015,3.157E+036,1.637E+039,0.004511824,,2639.443139032,1970.4435957234,1.637,2816.0578709563
4.655E+015,3.105E+036,1.627E+039,0.0044799729,,2611.3937964281,1937.9877620276,1.627,2796.1779707779
4.605E+015,3.054E+036,1.617E+039,0.0044483462,,2583.3444538241,1906.1560789798,1.617,2776.4381773679
4.556E+015,3.004E+036,1.607E+039,0.0044175075,,2555.8560980722,1874.94854658,1.607,2757.190195801
4.507E+015,2.954E+036,1.597E+039,0.0043862827,,2528.3677423204,1843.7410141802,1.597,2737.7011624925
4.458E+015,2.905E+036,1.587E+039,0.0043552944,,2500.8793865685,1813.1576324284,1.587,2718.359810332
4.41E+015,2.856E+036,1.577E+039,0.004324483,,2473.9520176687,1782.5742506766,1.577,2699.1288955899
4.362E+015,2.807E+036,1.567E+039,0.0042932785,,2447.0246487689,1751.9908689248,1.567,2679.6525320317
4.315E+015,2.759E+036,1.557E+039,0.0042628926,,2420.6582667212,1722.031637821,1.557,2660.6871577021
4.282E+015,2.726E+036,1.55E+039,0.0042417183,,2402.1457006026,1701.4346664371,1.55,2647.4712045417
4.05E+015,2.495E+036,1.5E+039,0.0040900944,,2271.9967509202,1557.25586675,1.5,2552.8350784468
3.826E+015,2.275E+036,1.45E+039,0.0039405588,,2146.3356960545,1419.9427241909,1.45,2459.5023587899
3.611E+015,2.068E+036,1.4E+039,0.0037954059,,2025.7235228575,1290.7435400557,1.4,2368.905044938
3.404E+015,1.872E+036,1.35E+039,0.0036529752,,1909.5992444771,1168.4100130485,1.35,2280.0068574264
3.205E+015,1.688E+036,1.3E+039,0.0035143502,,1797.9628609134,1053.5662938173,1.3,2193.4839651774
3.013E+015,1.514E+036,1.25E+039,0.0033776685,,1690.2533853142,944.9640810659,1.25,2108.1739731041
2.829E+015,1.352E+036,1.2E+039,0.0032455886,,1587.0318045317,843.8516760906,1.2,2025.7362338519
2.652E+015,1.201E+036,1.15E+039,0.0031170597,,1487.7371317137,749.6049282432,1.15,1945.5148347451
2.482E+015,1.061E+036,1.1E+039,0.002992566,,1392.3693668602,662.2238375238,1.1,1867.8120039855
2.319E+015,9.31E+035,1.05E+039,0.0028717316,,1300.9285099714,581.0842532843,1.05,1792.3931078625
2.162E+015,8.114E+035,1E+039,0.0027546065,,1212.8535741949,506.435835784,1,1719.2894099789
2.012E+015,7.018E+035,9.5E+038,0.0026423015,,1128.7055463831,438.0289247636,0.95,1649.1941801544
1.868E+015,6.018E+035,9E+038,0.0025341768,,1047.9234396837,375.613859964,0.9,1581.7081107197
1.73E+015,5.113E+035,8.5E+038,0.0024308526,,970.5072540968,319.1282263204,0.85,1517.2182122555
1.598E+015,4.298E+035,8E+038,0.0023326038,,896.4569896223,268.2599485087,0.8,1455.8961726638
1.471E+015,3.57E+035,7.5E+038,0.0022388472,,825.2116594083,222.8217813346,0.75,1397.3779209905
1.349E+015,2.925E+035,7E+038,0.0021499739,,756.7712634547,182.5640645388,0.7,1341.9076114193
