#energy density (MeV/fm^3),  pressure (MeV/fm^3),  baryon density (fm^-3) 
2424.9987156049, 967.1616684785, 1.6960805638
2424.7170380144, 966.9920675304, 1.6959395174
2424.4342046313, 966.8224806776, 1.6957975681
2424.1528768198, 966.6529079203, 1.6956569372
2423.8704802439, 966.4833492585, 1.6955158375
2423.5891483424, 966.3138046923, 1.695375561
2423.3075559688, 966.1442742219, 1.6952345206
2423.0253190634, 965.9747578473, 1.6950931546
2422.7444304147, 965.8052555687, 1.6949537177
2422.4623312656, 965.635767386, 1.694812079
2422.1806454084, 965.4662932994, 1.6946712823
2421.8990814366, 965.2968333091, 1.6945302128
2421.6155849536, 965.127387415, 1.694387808
2421.3345561534, 964.9579556175, 1.6942473077
2421.053215804, 964.7885379164, 1.6941072803
2420.7717258179, 964.619134312, 1.6939662216
2420.488750436, 964.4497448043, 1.6938234646
2420.207463422, 964.2803693933, 1.6936834424
2419.9255236207, 964.1110080793, 1.6935418208
2419.6447748564, 963.9416608623, 1.6934023714
2419.3628697273, 963.7723277424, 1.6932607526
2419.0810933217, 963.6030087198, 1.6931201334
2418.7992275447, 963.4337037944, 1.6929785225
2418.5186512595, 963.2644129665, 1.6928388039
2418.2355073365, 963.0951362361, 1.692695654
2417.9542991486, 962.9258736032, 1.6925556053
2417.673778019, 962.7566250682, 1.6924158948
2417.3909354589, 962.5873906309, 1.6922731174
2417.1107845062, 962.4181702915, 1.6921342103
2416.8278137148, 962.24896405, 1.6919916728
2416.5475341482, 962.0797719068, 1.691851741
2416.2640992237, 961.9105938618, 1.6917086413
2415.9851418698, 961.7414299151, 1.6915709861
2415.7015724757, 961.5722800667, 1.691426856
2415.4204665965, 961.4031443168, 1.6912867883
2415.1401059628, 961.2340226656, 1.6911470956
2414.8572032367, 961.064915113, 1.6910045367
2414.5763141871, 960.8958216593, 1.6908642393
2414.295625753, 960.7267423045, 1.6907240945
2414.0125040599, 960.5576770487, 1.6905807823
2413.7321090711, 960.3886258919, 1.6904410191
2413.4487930242, 960.2195888344, 1.6902979012
