# energy density [MeV fm-3], pressure [MeV fm-3], baryon density [1/fm-3], chemical potential [MeV]
2229.319895, 898.217876, 1.563769, 2000.000000
2229.060740, 898.061506, 1.563639, 1999.900000
2228.802354, 897.905148, 1.563511, 1999.800000
2228.542472, 897.748804, 1.563380, 1999.700000
2228.284558, 897.592472, 1.563252, 1999.600000
2228.022871, 897.436154, 1.563119, 1999.500000
2227.765496, 897.279848, 1.562991, 1999.400000
2227.506776, 897.123555, 1.562863, 1999.300000
2227.247600, 896.967276, 1.562733, 1999.200000
2226.988646, 896.811009, 1.562604, 1999.100000
2226.729502, 896.654755, 1.562474, 1999.000000
2226.471024, 896.498514, 1.562345, 1998.900000
2226.211007, 896.342286, 1.562214, 1998.800000
2225.951574, 896.186071, 1.562083, 1998.700000
2225.692986, 896.029869, 1.561954, 1998.600000
2225.434589, 895.873680, 1.561825, 1998.500000
2225.175297, 895.717504, 1.561696, 1998.400000
2224.916277, 895.561341, 1.561566, 1998.300000
2224.657692, 895.405191, 1.561437, 1998.200000
2224.398301, 895.249054, 1.561307, 1998.100000
2224.140645, 895.092930, 1.561179, 1998.000000
2223.881284, 894.936819, 1.561049, 1997.900000
2223.621940, 894.780720, 1.560918, 1997.800000
2223.362453, 894.624635, 1.560788, 1997.700000
2223.104304, 894.468562, 1.560659, 1997.600000
2222.845510, 894.312503, 1.560530, 1997.500000
2222.587408, 894.156457, 1.560401, 1997.400000
2222.327147, 894.000423, 1.560270, 1997.300000
2222.067843, 893.844403, 1.560139, 1997.200000
2221.810619, 893.688395, 1.560012, 1997.100000
2221.552183, 893.532400, 1.559883, 1997.000000
2221.292488, 893.376419, 1.559752, 1996.900000
2221.032594, 893.220450, 1.559621, 1996.800000
2220.776539, 893.064494, 1.559495, 1996.700000
2220.515848, 892.908551, 1.559362, 1996.600000
2220.256878, 892.752621, 1.559233, 1996.500000
2220.000391, 892.596705, 1.559106, 1996.400000
2219.739734, 892.440801, 1.558974, 1996.300000
2219.481774, 892.284910, 1.558845, 1996.200000
2219.221594, 892.129032, 1.558714, 1996.100000
