# energy density [MeV fm-3], pressure [MeV fm-3], baryon density [1/fm-3], chemical potential [MeV]
1901.609593, 779.528258, 1.340568, 2000.000000
1901.389464, 779.394207, 1.340460, 1999.900000
1901.166843, 779.260166, 1.340347, 1999.800000
1900.947506, 779.126137, 1.340239, 1999.700000
1900.724575, 778.992119, 1.340126, 1999.600000
1900.503680, 778.858112, 1.340016, 1999.500000
1900.283065, 778.724116, 1.339906, 1999.400000
1900.061320, 778.590131, 1.339795, 1999.300000
1899.839590, 778.456157, 1.339684, 1999.200000
1899.618378, 778.322194, 1.339573, 1999.100000
1899.397507, 778.188242, 1.339463, 1999.000000
1899.176667, 778.054302, 1.339352, 1998.900000
1898.953934, 777.920372, 1.339240, 1998.800000
1898.733928, 777.786453, 1.339131, 1998.700000
1898.512794, 777.652546, 1.339020, 1998.600000
1898.291111, 777.518650, 1.338909, 1998.500000
1898.069846, 777.384764, 1.338798, 1998.400000
1897.849335, 777.250890, 1.338689, 1998.300000
1897.627760, 777.117027, 1.338577, 1998.200000
1897.406141, 776.983174, 1.338466, 1998.100000
1897.184690, 776.849333, 1.338355, 1998.000000
1896.964669, 776.715503, 1.338246, 1997.900000
1896.744241, 776.581684, 1.338136, 1997.800000
1896.522199, 776.447877, 1.338024, 1997.700000
1896.300652, 776.314080, 1.337913, 1997.600000
1896.079124, 776.180294, 1.337801, 1997.500000
1895.858593, 776.046519, 1.337692, 1997.400000
1895.637783, 775.912756, 1.337581, 1997.300000
1895.415870, 775.779003, 1.337470, 1997.200000
1895.194929, 775.645262, 1.337359, 1997.100000
1894.974615, 775.511531, 1.337249, 1997.000000
1894.752641, 775.377812, 1.337137, 1996.900000
1894.533363, 775.244104, 1.337029, 1996.800000
1894.309564, 775.110406, 1.336914, 1996.700000
1894.090161, 774.976720, 1.336806, 1996.600000
1893.869547, 774.843045, 1.336696, 1996.500000
1893.649355, 774.709381, 1.336586, 1996.400000
1893.427627, 774.575728, 1.336474, 1996.300000
1893.207724, 774.442087, 1.336365, 1996.200000
1892.984012, 774.308456, 1.336251, 1996.100000
1892.765328, 774.174836, 1.336143, 1996.000000
1892.542474, 774.041227, 1.336030, 1995.900000
1892.323819, 773.907630, 1.335922, 1995.800000
1892.101318, 773.774043, 1.335810, 1995.700000
1891.881181, 773.640468, 1.335700, 1995.600000
1891.659581, 773.506904, 1.335588, 1995.500000
1891.437407, 773.373350, 1.335476, 1995.400000
1891.218829, 773.239808, 1.335368, 1995.300000
1890.996903, 773.106277, 1.335256, 1995.200000
1890.776970, 772.972757, 1.335146, 1995.100000
1890.555073, 772.839248, 1.335035, 1995.000000
1890.335492, 772.705750, 1.334926, 1994.900000
1890.113833, 772.572263, 1.334813, 1994.800000
1889.891926, 772.438787, 1.334702, 1994.700000
1889.672389, 772.305322, 1.334592, 1994.600000
1889.451038, 772.171869, 1.334481, 1994.500000
1889.229682, 772.038426, 1.334370, 1994.400000
1889.010188, 771.904995, 1.334261, 1994.300000
1888.789389, 771.771574, 1.334150, 1994.200000
1888.567911, 771.638165, 1.334038, 1994.100000
1888.346799, 771.504767, 1.333927, 1994.000000
1888.126865, 771.371379, 1.333817, 1993.900000
1887.905117, 771.238003, 1.333705, 1993.800000
1887.685661, 771.104638, 1.333596, 1993.700000
1887.464740, 770.971284, 1.333486, 1993.600000
1887.244551, 770.837941, 1.333375, 1993.500000
1887.023126, 770.704609, 1.333264, 1993.400000
1886.802462, 770.571288, 1.333153, 1993.300000
1886.581754, 770.437979, 1.333042, 1993.200000
1886.360533, 770.304680, 1.332931, 1993.100000
1886.141555, 770.171392, 1.332822, 1993.000000
1885.919387, 770.038116, 1.332710, 1992.900000
1885.699245, 769.904850, 1.332599, 1992.800000
1885.478106, 769.771596, 1.332488, 1992.700000
1885.258127, 769.638353, 1.332378, 1992.600000
1885.037530, 769.505120, 1.332267, 1992.500000
1884.816416, 769.371899, 1.332156, 1992.400000
1884.596665, 769.238689, 1.332047, 1992.300000
1884.374603, 769.105490, 1.331934, 1992.200000
1884.155330, 768.972302, 1.331825, 1992.100000
1883.934119, 768.839125, 1.331713, 1992.000000
1883.713609, 768.705959, 1.331602, 1991.900000
1883.494697, 768.572805, 1.331494, 1991.800000
1883.272708, 768.439661, 1.331381, 1991.700000
1883.053009, 768.306528, 1.331272, 1991.600000
1882.831552, 768.173407, 1.331160, 1991.500000
1882.611062, 768.040296, 1.331049, 1991.400000
1882.390719, 767.907197, 1.330939, 1991.300000
1882.170257, 767.774109, 1.330828, 1991.200000
1881.949684, 767.641032, 1.330717, 1991.100000
1881.730077, 767.507965, 1.330607, 1991.000000
1881.508493, 767.374910, 1.330495, 1990.900000
1881.289233, 767.241866, 1.330386, 1990.800000
1881.067526, 767.108833, 1.330273, 1990.700000
1880.848738, 766.975811, 1.330165, 1990.600000
1880.627696, 766.842801, 1.330053, 1990.500000
1880.406535, 766.709801, 1.329941, 1990.400000
1880.186348, 766.576812, 1.329831, 1990.300000
1879.966798, 766.443835, 1.329722, 1990.200000
1879.745023, 766.310868, 1.329608, 1990.100000
1879.524820, 766.177913, 1.329498, 1990.000000
1879.304875, 766.044968, 1.329388, 1989.900000
1879.085387, 765.912035, 1.329279, 1989.800000
1878.865920, 765.779113, 1.329169, 1989.700000
1878.642710, 765.646202, 1.329054, 1989.600000
1878.424410, 765.513302, 1.328947, 1989.500000
1878.203346, 765.380413, 1.328834, 1989.400000
1877.982932, 765.247535, 1.328723, 1989.300000
1877.762874, 765.114668, 1.328613, 1989.200000
1877.542991, 764.981812, 1.328503, 1989.100000
1877.322118, 764.848967, 1.328392, 1989.000000
1877.102772, 764.716134, 1.328282, 1988.900000
1876.883724, 764.583311, 1.328173, 1988.800000
1876.661894, 764.450500, 1.328060, 1988.700000
1876.442090, 764.317699, 1.327950, 1988.600000
1876.222264, 764.184910, 1.327839, 1988.500000
1876.001483, 764.052132, 1.327728, 1988.400000
1875.781166, 763.919364, 1.327617, 1988.300000
1875.560941, 763.786608, 1.327506, 1988.200000
1875.340653, 763.653863, 1.327395, 1988.100000
1875.120779, 763.521129, 1.327285, 1988.000000
1874.899700, 763.388406, 1.327173, 1987.900000
1874.679958, 763.255694, 1.327063, 1987.800000
1874.459572, 763.122994, 1.326952, 1987.700000
1874.240678, 762.990304, 1.326843, 1987.600000
1874.020004, 762.857625, 1.326731, 1987.500000
1873.800325, 762.724958, 1.326621, 1987.400000
1873.579177, 762.592301, 1.326508, 1987.300000
1873.359025, 762.459656, 1.326398, 1987.200000
1873.139546, 762.327022, 1.326288, 1987.100000
1872.919548, 762.194399, 1.326177, 1987.000000
1872.700104, 762.061786, 1.326067, 1986.900000
1872.478693, 761.929185, 1.325955, 1986.800000
1872.259403, 761.796595, 1.325845, 1986.700000
1872.038524, 761.664016, 1.325733, 1986.600000
1871.819580, 761.531448, 1.325624, 1986.500000
1871.599012, 761.398892, 1.325512, 1986.400000
1871.379820, 761.266346, 1.325403, 1986.300000
1871.159282, 761.133811, 1.325291, 1986.200000
1870.940060, 761.001288, 1.325181, 1986.100000
1870.719054, 760.868775, 1.325069, 1986.000000
1870.499066, 760.736274, 1.324958, 1985.900000
1870.280891, 760.603784, 1.324850, 1985.800000
1870.059749, 760.471304, 1.324738, 1985.700000
1869.838801, 760.338836, 1.324625, 1985.600000
1869.620174, 760.206379, 1.324516, 1985.500000
1869.399762, 760.073933, 1.324405, 1985.400000
1869.181446, 759.941498, 1.324296, 1985.300000
1868.959216, 759.809074, 1.324182, 1985.200000
1868.740169, 759.676661, 1.324073, 1985.100000
1868.521399, 759.544260, 1.323964, 1985.000000
1868.299901, 759.411869, 1.323850, 1984.900000
1868.080658, 759.279489, 1.323740, 1984.800000
1867.860611, 759.147121, 1.323629, 1984.700000
1867.642963, 759.014763, 1.323522, 1984.600000
1867.420305, 758.882417, 1.323407, 1984.500000
1867.201783, 758.750082, 1.323298, 1984.400000
1866.981298, 758.617758, 1.323186, 1984.300000
1866.762835, 758.485444, 1.323077, 1984.200000
1866.542057, 758.353142, 1.322965, 1984.100000
1866.322118, 758.220851, 1.322854, 1984.000000
1866.101851, 758.088572, 1.322743, 1983.900000
1865.884270, 757.956303, 1.322635, 1983.800000
1865.663371, 757.824045, 1.322523, 1983.700000
1865.443938, 757.691798, 1.322412, 1983.600000
1865.224573, 757.559563, 1.322302, 1983.500000
1865.004726, 757.427338, 1.322191, 1983.400000
