# mass density [g cm-3], pressure [erg cm-3], baryon density [1/fm-3]
# energy density [MeV fm-3], pressure [MeV fm-3], baryon density [1/fm-3], chemical potential [MeV], strangeness fraction [admin]
3.653003e+15, 1.335110e+36, 1e+39
3.652577e+15, 1.334879e+36, 1e+39
3.652154e+15, 1.334648e+36, 1e+39
3.651730e+15, 1.334417e+36, 1e+39
3.651303e+15, 1.334186e+36, 1e+39
3.650879e+15, 1.333955e+36, 1e+39
3.650455e+15, 1.333724e+36, 1e+39
3.650027e+15, 1.333494e+36, 1e+39
3.649604e+15, 1.333263e+36, 1e+39
3.649180e+15, 1.333032e+36, 1e+39
3.648756e+15, 1.332801e+36, 1e+39
3.648330e+15, 1.332570e+36, 1e+39
3.647905e+15, 1.332340e+36, 1e+39
3.647480e+15, 1.332109e+36, 1e+39
3.647056e+15, 1.331878e+36, 1e+39
3.646631e+15, 1.331647e+36, 1e+39
3.646207e+15, 1.331417e+36, 1e+39
3.645782e+15, 1.331186e+36, 1e+39
3.645359e+15, 1.330956e+36, 1e+39
3.644932e+15, 1.330725e+36, 1e+39
3.644507e+15, 1.330494e+36, 1e+39
3.644083e+15, 1.330264e+36, 1e+39
3.643659e+15, 1.330033e+36, 1e+39
3.643233e+15, 1.329803e+36, 1e+39
3.642813e+15, 1.329572e+36, 1e+39
3.642383e+15, 1.329342e+36, 1e+39
3.641963e+15, 1.329111e+36, 1e+39
3.641535e+15, 1.328881e+36, 1e+39
3.641114e+15, 1.328650e+36, 1e+39
3.640687e+15, 1.328420e+36, 1e+39
3.640265e+15, 1.328189e+36, 1e+39
3.639839e+15, 1.327959e+36, 1e+39
3.639413e+15, 1.327729e+36, 1e+39
3.638989e+15, 1.327498e+36, 1e+39
3.638566e+15, 1.327268e+36, 1e+39
3.638144e+15, 1.327038e+36, 1e+39
3.637716e+15, 1.326807e+36, 1e+39
3.637292e+15, 1.326577e+36, 1e+39
3.636870e+15, 1.326347e+36, 1e+39
3.636445e+15, 1.326117e+36, 1e+39
3.636021e+15, 1.325886e+36, 1e+39
3.635595e+15, 1.325656e+36, 1e+39
3.635173e+15, 1.325426e+36, 1e+39
3.634748e+15, 1.325196e+36, 1e+39
3.634325e+15, 1.324966e+36, 1e+39
3.633900e+15, 1.324736e+36, 1e+39
3.633476e+15, 1.324505e+36, 1e+39
3.633051e+15, 1.324275e+36, 1e+39
3.632629e+15, 1.324045e+36, 1e+39
3.632202e+15, 1.323815e+36, 1e+39
3.631781e+15, 1.323585e+36, 1e+39
3.631356e+15, 1.323355e+36, 1e+39
3.630930e+15, 1.323125e+36, 1e+39
