# energy density [MeV fm-3], pressure [MeV fm-3], baryon density [1/fm-3], chemical potential [MeV], strangeness fraction [admin]
2424.998716, 967.161668, 1.696081, 2000.000000, 0.878125
2424.717038, 966.992068, 1.695940, 1999.900000, 0.878096
2424.434205, 966.822481, 1.695798, 1999.800000, 0.878066
2424.152877, 966.652908, 1.695657, 1999.700000, 0.878036
2423.870480, 966.483349, 1.695516, 1999.600000, 0.878007
2423.589148, 966.313805, 1.695376, 1999.500000, 0.877977
2423.307556, 966.144274, 1.695235, 1999.400000, 0.877948
2423.025319, 965.974758, 1.695093, 1999.300000, 0.877918
2422.744430, 965.805256, 1.694954, 1999.200000, 0.877889
2422.462331, 965.635767, 1.694812, 1999.100000, 0.877859
2422.180645, 965.466293, 1.694671, 1999.000000, 0.877830
2421.899081, 965.296833, 1.694530, 1998.900000, 0.877801
2421.615585, 965.127387, 1.694388, 1998.800000, 0.877770
2421.334556, 964.957956, 1.694247, 1998.700000, 0.877741
2421.053216, 964.788538, 1.694107, 1998.600000, 0.877711
2420.771726, 964.619134, 1.693966, 1998.500000, 0.877682
2420.488750, 964.449745, 1.693823, 1998.400000, 0.877652
2420.207463, 964.280369, 1.693683, 1998.300000, 0.877623
2419.925524, 964.111008, 1.693542, 1998.200000, 0.877593
2419.644775, 963.941661, 1.693402, 1998.100000, 0.877564
2419.362870, 963.772328, 1.693261, 1998.000000, 0.877534
2419.081093, 963.603009, 1.693120, 1997.900000, 0.877504
2418.799228, 963.433704, 1.692979, 1997.800000, 0.877475
2418.518651, 963.264413, 1.692839, 1997.700000, 0.877446
2418.235507, 963.095136, 1.692696, 1997.600000, 0.877416
2417.954299, 962.925874, 1.692556, 1997.500000, 0.877386
2417.673778, 962.756625, 1.692416, 1997.400000, 0.877357
2417.390935, 962.587391, 1.692273, 1997.300000, 0.877327
2417.110785, 962.418170, 1.692134, 1997.200000, 0.877298
2416.827814, 962.248964, 1.691992, 1997.100000, 0.877268
2416.547534, 962.079772, 1.691852, 1997.000000, 0.877239
2416.264099, 961.910594, 1.691709, 1996.900000, 0.877208
2415.985142, 961.741430, 1.691571, 1996.800000, 0.877179
2415.701572, 961.572280, 1.691427, 1996.700000, 0.877149
2415.420467, 961.403144, 1.691287, 1996.600000, 0.877120
2415.140106, 961.234023, 1.691147, 1996.500000, 0.877090
2414.857203, 961.064915, 1.691005, 1996.400000, 0.877060
2414.576314, 960.895822, 1.690864, 1996.300000, 0.877031
2414.295626, 960.726742, 1.690724, 1996.200000, 0.877001
2414.012504, 960.557677, 1.690581, 1996.100000, 0.876971
2413.732109, 960.388626, 1.690441, 1996.000000, 0.876942
2413.448793, 960.219589, 1.690298, 1995.900000, 0.876911
2413.169179, 960.050566, 1.690159, 1995.800000, 0.876882
2412.887403, 959.881557, 1.690017, 1995.700000, 0.876853
2412.606138, 959.712562, 1.689877, 1995.600000, 0.876823
2412.324517, 959.543582, 1.689735, 1995.500000, 0.876793
2412.043293, 959.374615, 1.689594, 1995.400000, 0.876763
