# energy density [Mev fm-3], pressure  [Mev fm-3], baryon density [fm-3], chemical potential [MeV]
1917, 311, 1.7, 1310.5882352941
1807, 278, 1.615, 1291.0216718266
1698, 248, 1.53, 1271.8954248366
1590, 219, 1.445, 1251.9031141869
1485, 193, 1.36, 1233.8235294118
1381, 169, 1.275, 1215.6862745098
1278, 147, 1.19, 1197.4789915966
1177, 127, 1.105, 1180.0904977376
1078, 109, 1.02, 1163.7254901961
979, 93, 0.935, 1146.5240641711
882, 80, 0.85, 1131.7647058824
787, 67, 0.765, 1116.3398692811
693, 57, 0.68, 1102.9411764706
600, 48, 0.595, 1089.0756302521
508, 40, 0.51, 1074.5098039216
418, 26, 0.425, 1044.7058823529
330, 15, 0.34, 1014.705882353
245, 7, 0.255, 988.2352941176
162, 2, 0.17, 964.7058823529
