################################################################################
# config_name = BJ_MIT.properties.conf
# mu_0 = 2700.0
# quarks_eos_file_name = ../workspace.eos/eos.quarks.mit/mit_bag_model_B_130.csv
# hadrons_eos_file_name = ../workspace.eos/eos.hadron.Bethe_Johnson/bethe_johnson.csv
#
# Range Quarks - P(mu) = EoSRange(inf_limit=0.0, sup_limit=2735.758620999)
# Range Hadrons - P(mu)  = EoSRange(inf_limit=956.8691890184, sup_limit=4197.316719246667)
#
# Range = EoSRange(inf_limit=956.8691890184, sup_limit=2735.758620999)
#
# Transition pressure (hadrons) = [ 28.22981097]
# Transition pressure (quarks) = [ 28.22981097]
#
################################################################################
# energy density [MeV fm-3], pressure [MeV fm-3], chem_potential [fm-3]
20648.1894531, 6709.39648438, 2735.758621
20594.8360101, 6691.61200336, 2733.9779509
20541.5790272, 6673.85967572, 2732.19728079
20488.4175316, 6656.13923108, 2730.41661069
20435.3507687, 6638.45040159, 2728.63594059
20382.3985605, 6620.79953926, 2726.85527049
20329.5605889, 6603.18707653, 2725.07460039
20276.8177035, 6585.60615689, 2723.29393028
20224.1691869, 6568.05655839, 2721.51326018
20171.6190481, 6550.53984545, 2719.73259008
20119.1982228, 6533.06623704, 2717.95191998
20066.8714259, 6515.62372316, 2716.17124988
20014.6377894, 6498.21231636, 2714.39057977
19962.496566, 6480.83203361, 2712.60990967
19910.4819588, 6463.49395521, 2710.82923957
19858.567843, 6446.18937459, 2709.04856947
19806.7463646, 6428.91567184, 2707.26789937
19755.0171859, 6411.67268819, 2705.48722926
19703.4045395, 6394.46822525, 2703.70655916
19651.9011646, 6377.30048903, 2701.92588906
19600.490092, 6360.16334072, 2700.14521896
19549.1707118, 6343.05660077, 2698.36454886
19497.9593358, 6325.98626559, 2696.58387875
19446.8632389, 6308.95435638, 2694.80320865
19395.8584169, 6291.95280563, 2693.02253855
19344.9444139, 6274.9814713, 2691.24186845
19294.1350874, 6258.04502914, 2689.46119834
19243.444257, 6241.14808567, 2687.68052824
19192.8436356, 6224.28114325, 2685.89985814
19142.3327094, 6207.44412872, 2684.11918804
19091.9247249, 6190.64171161, 2682.33851794
19041.6369486, 6173.8789282, 2680.55784783
18991.4376206, 6157.14577794, 2678.77717773
