################################################################################
# config_name = sly_4_MFTQCD.properties.conf
# mu_0 = 2700.0
# quarks_eos_file_name = ../workspace/eos.mft.qcd/MFT.QCD.B_70_XI_0.0075.FULL.NUC.csv
# hadrons_eos_file_name = ../workspace/eos.sly4/sly4.dat.NUC.csv
#
# Range Quarks - P(mu) = EoSRange(inf_limit=679.5593621124518, sup_limit=7259.004141288889)
# Range Hadrons - P(mu)  = EoSRange(inf_limit=924.0063717038253, sup_limit=3566.1298585739605)
#
# Range = EoSRange(inf_limit=924.0063717038253, sup_limit=3566.1298585739605)
#
# Transition pressure (hadrons) = [ 1716.51221336]
# Transition pressure (quarks) = [ 1716.51221336]
#
################################################################################
# energy density [MeV fm-3], pressure [MeV fm-3], chem_potential [fm-3]
4058.70936378, 3334.08079612, 3566.12985857
4052.58907963, 3328.59287804, 3563.48509032
4046.47492579, 3323.11085207, 3560.84032206
4040.38217853, 3317.64939631, 3558.19555381
4034.28943126, 3312.18794054, 3555.55078555
4028.196684, 3306.72648477, 3552.9060173
4022.10393674, 3301.26502901, 3550.26124904
4016.01118947, 3295.80357324, 3547.61648079
4009.92916319, 3290.35243636, 3544.97171253
4003.86390987, 3284.91744127, 3542.32694428
3997.79865654, 3279.48244619, 3539.68217602
3991.73340322, 3274.0474511, 3537.03740777
3985.6681499, 3268.61245602, 3534.39263951
3979.60289657, 3263.17746093, 3531.74787126
3973.55298292, 3257.7571834, 3529.103103
3967.51530588, 3252.34864734, 3526.45833475
3961.47762884, 3246.94011127, 3523.81356649
3955.4399518, 3241.53157521, 3521.16879824
3949.40227476, 3236.12303915, 3518.52402998
3943.36459772, 3230.71450308, 3515.87926173
3937.34678359, 3225.32502476, 3513.23449347
3931.33664051, 3219.94290422, 3510.58972522
3925.32649744, 3214.56078368, 3507.94495696
3919.31635436, 3209.17866313, 3505.30018871
3913.30621128, 3203.79654259, 3502.65542045
3907.29606821, 3198.41442205, 3500.0106522
3901.31030692, 3193.05576831, 3497.36588394
3895.32769622, 3187.70014528, 3494.72111569
3889.34508551, 3182.34452226, 3492.07634743
3883.36247481, 3176.98889923, 3489.43157918
3877.37986411, 3171.63327621, 3486.78681092
3871.39859444, 3166.27893996, 3484.14204267
3865.44351479, 3160.9497291, 3481.49727441
3859.48843513, 3155.62051824, 3478.85250615
3853.53335548, 3150.29130739, 3476.2077379
3847.57827582, 3144.96209653, 3473.56296964
3841.62319617, 3139.63288567, 3470.91820139
3835.67392597, 3134.30924939, 3468.27343313
3829.74641838, 3129.00649083, 3465.62866488
3823.8189108, 3123.70373226, 3462.98389662
3817.89140321, 3118.4009737, 3460.33912837
3811.96389563, 3113.09821513, 3457.69436011
3806.03638804, 3107.79545657, 3455.04959186
3800.11912831, 3102.50252913, 3452.4048236
3794.21919119, 3097.22622113, 3449.76005535
3788.31925408, 3091.94991314, 3447.11528709
3782.41931696, 3086.67360514, 3444.47051884
3776.51937984, 3081.39729714, 3441.82575058
3770.61944273, 3076.12098915, 3439.18098233
3764.73413638, 3070.85871715, 3436.53621407
3758.86172729, 3065.6088162, 3433.89144582
3752.9893182, 3060.35891525, 3431.24667756
3747.11690911, 3055.10901429, 3428.60190931
3741.24450003, 3049.85911334, 3425.95714105
3735.37209094, 3044.60921239, 3423.3123728
3729.51871169, 3039.37759589, 3420.66760454
3723.67387072, 3034.15418383, 3418.02283629
3717.82902976, 3028.93077177, 3415.37806803
3711.9841888, 3023.70735971, 3412.73329978
3706.13934783, 3018.48394764, 3410.08853152
3700.29450687, 3013.26053558, 3407.44376327
3694.47303881, 3008.05954657, 3404.79899501
3688.65576539, 3002.86257984, 3402.15422676
3682.83849197, 2997.66561312, 3399.5094585
3677.02121855, 2992.46864639, 3396.86469025
3671.20394512, 2987.27167966, 3394.21992199
3665.38679207, 2982.07482968, 3391.57515374
3659.59712638, 2976.90430651, 3388.93038548
3653.80746068, 2971.73378335, 3386.28561723
3648.01779499, 2966.56326018, 3383.64084897
3642.22812929, 2961.39273702, 3380.99608072
3636.4384636, 2956.22221385, 3378.35131246
3630.65319756, 2951.05591603, 3375.7065442
3624.89105433, 2945.91183464, 3373.06177595
3619.1289111, 2940.76775325, 3370.41700769
3613.36676787, 2935.62367186, 3367.77223944
3607.60462464, 2930.47959047, 3365.12747118
3601.84248141, 2925.33550907, 3362.48270293
3596.08900657, 2920.19974405, 3359.83793467
3590.3544691, 2915.08214439, 3357.19316642
3584.61993163, 2909.96454473, 3354.54839816
3578.88539416, 2904.84694506, 3351.90362991
3573.15085668, 2899.7293454, 3349.25886165
3567.41631921, 2894.61174573, 3346.6140934
3561.69465598, 2889.5064768, 3343.96932514
3555.98768087, 2884.41527354, 3341.32455689
3550.28070576, 2879.32407027, 3338.67978863
3544.57373065, 2874.23286701, 3336.03502038
3538.86675554, 2869.14166375, 3333.39025212
3533.15978043, 2864.05046048, 3330.74548387
3527.46989471, 2858.97564907, 3328.10071561
3521.79052199, 2853.91092387, 3325.45594736
3516.11114926, 2848.84619867, 3322.8111791
3510.43177654, 2843.78147347, 3320.16641085
3504.75240382, 2838.71674827, 3317.52164259
3499.07303109, 2833.65202307, 3314.87687434
3493.41487483, 2828.60764819, 3312.23210608
3487.76306231, 2823.56935746, 3309.58733783
3482.11124978, 2818.53106673, 3306.94256957
3476.45943725, 2813.49277599, 3304.29780132
3470.80762473, 2808.45448526, 3301.65303306
3465.1558122, 2803.41619453, 3299.00826481
3459.52937499, 2798.40224506, 3296.36349655
3453.90516296, 2793.39042866, 3293.7187283
3448.28095092, 2788.37861226, 3291.07396004
3442.65673889, 2783.36679586, 3288.42919179
3437.03252686, 2778.35497946, 3285.78442353
3431.41019132, 2773.34495581, 3283.13965528
3425.81361955, 2768.35957013, 3280.49488702
3420.21704778, 2763.37418445, 3277.85011877
3414.62047601, 2758.38879877, 3275.20535051
3409.02390424, 2753.40341309, 3272.56058226
3403.42733247, 2748.41802741, 3269.915814
3397.83668766, 2743.43832467, 3267.27104574
3392.26767199, 2738.47936782, 3264.62627749
3386.69865633, 2733.52041097, 3261.98150923
3381.12964066, 2728.56145413, 3259.33674098
3375.560625, 2723.60249728, 3256.69197272
3369.99160933, 2718.64354044, 3254.04720447
3364.43257104, 2713.69413922, 3251.40243621
3358.89119399, 2708.76165099, 3248.75766796
3353.34981693, 2703.82916277, 3246.1128997
3347.80843988, 2698.89667454, 3243.46813145
3342.26706283, 2693.96418631, 3240.82336319
3336.72568577, 2689.03169808, 3238.17859494
3331.19826621, 2684.11259634, 3235.53382668
3325.68448423, 2679.20657478, 3232.88905843
3320.17070225, 2674.30055323, 3230.24429017
3314.65692027, 2669.39453168, 3227.59952192
3309.14313829, 2664.48851013, 3224.95475366
3303.62935631, 2659.58248858, 3222.30998541
3298.13349117, 2654.69362413, 3219.66521715
3292.64730329, 2649.81402562, 3217.0204489
3287.16111541, 2644.93442711, 3214.37568064
3281.67492753, 2640.0548286, 3211.73091239
3276.18873965, 2635.17523009, 3209.08614413
3270.70255177, 2630.29563158, 3206.44137588
3265.23823891, 2625.43694846, 3203.79660762
3259.77968537, 2620.58377104, 3201.15183937
3254.32113182, 2615.73059361, 3198.50707111
3248.86257828, 2610.87741618, 3195.86230286
3243.40402474, 2606.02423876, 3193.2175346
3237.94547119, 2601.17106133, 3190.57276635
3232.51269006, 2596.34260161, 3187.92799809
3227.08176929, 2591.51592662, 3185.28322984
3221.65084851, 2586.68925163, 3182.63846158
3216.21992774, 2581.86257664, 3179.99369333
3210.78900697, 2577.03590165, 3177.34892507
3205.36008865, 2572.21114014, 3174.70415682
3199.95679944, 2567.41088225, 3172.05938856
3194.55351023, 2562.61062436, 3169.41462031
3189.15022102, 2557.81036647, 3166.76985205
3183.74693181, 2553.01010858, 3164.12508379
3178.3436426, 2548.20985069, 3161.48031554
3172.94617287, 2543.41517336, 3158.83554728
3167.57047248, 2538.64137221, 3156.19077903
3162.1947721, 2533.86757106, 3153.54601077
3156.81907172, 2529.09376991, 3150.90124252
3151.44337134, 2524.31996876, 3148.25647426
3146.06767095, 2519.54616761, 3145.61170601
3140.70160253, 2514.78156195, 3142.96693775
3135.35357303, 2510.03417386, 3140.3221695
3130.00554352, 2505.28678578, 3137.67740124
3124.65751402, 2500.53939769, 3135.03263299
3119.30948451, 2495.7920096, 3132.38786473
3113.96145501, 2491.04462152, 3129.74309648
3108.62681894, 2486.31005803, 3127.09832822
3103.3064584, 2481.58916421, 3124.45355997
3097.98609785, 2476.86827039, 3121.80879171
3092.66573731, 2472.14737657, 3119.16402346
3087.34537676, 2467.42648275, 3116.5192552
3082.02501622, 2462.70558893, 3113.87448695
3076.72172026, 2458.00105874, 3111.22971869
3071.42894451, 2453.30661547, 3108.58495044
3066.13616876, 2448.61217221, 3105.94018218
3060.84339301, 2443.91772895, 3103.29541393
3055.55061726, 2439.22328569, 3100.65064567
3050.25784151, 2434.52884243, 3098.00587742
3044.98589969, 2429.85425508, 3095.36110916
3039.72083198, 2425.18621867, 3092.71634091
3034.45576427, 2420.51818226, 3090.07157265
3029.19069656, 2415.85014585, 3087.4268044
3023.92562885, 2411.18210945, 3084.78203614
3018.66056113, 2406.51407304, 3082.13726789
3013.41990728, 2401.86944825, 3079.49249963
3008.18246327, 2397.22789979, 3076.84773138
3002.94501927, 2392.58635134, 3074.20296312
2997.70757526, 2387.94480288, 3071.55819487
2992.47013125, 2383.30325442, 3068.91342661
2987.23308543, 2378.66208739, 3066.26865836
2982.02330509, 2374.04694156, 3063.6238901
2976.81352475, 2369.43179572, 3060.97912185
2971.60374441, 2364.81664989, 3058.33435359
2966.39396407, 2360.20150405, 3055.68958533
2961.18418373, 2355.58635822, 3053.04481708
2955.97837836, 2350.97501733, 3050.40004882
2950.79625993, 2346.38635514, 3047.75528057
2945.6141415, 2341.79769295, 3045.11051231
2940.43202307, 2337.20903075, 3042.46574406
2935.24990464, 2332.62036856, 3039.8209758
2930.06778622, 2328.03170637, 3037.17620755
2924.89317772, 2323.45022318, 3034.53143929
2919.7387204, 2318.88800087, 3031.88667104
2914.58426307, 2314.32577857, 3029.24190278
2909.42980575, 2309.76355626, 3026.59713453
2904.27534842, 2305.20133396, 3023.95236627
2899.1208911, 2300.63911165, 3021.30759802
2893.97745837, 2296.08741111, 3018.66282976
2888.85070191, 2291.55162649, 3016.01806151
2883.72394545, 2287.01584188, 3013.37329325
2878.59718899, 2282.48005727, 3010.728525
2873.47043253, 2277.94427265, 3008.08375674
2868.34367607, 2273.40848804, 3005.43898849
2863.23138455, 2268.88655207, 3002.79422023
2858.13228637, 2264.37724448, 3000.14945198
2853.03318819, 2259.8679369, 2997.50468372
2847.93409001, 2255.35862931, 2994.85991547
2842.83499183, 2250.84932173, 2992.21514721
2837.73589365, 2246.34001414, 2989.57037896
2832.65470672, 2241.84777378, 2986.9256107
2827.58330648, 2237.36485789, 2984.28084245
2822.51190624, 2232.88194201, 2981.63607419
2817.440506, 2228.39902612, 2978.99130594
2812.36910576, 2223.91611024, 2976.34653768
