################################################################################
# config_name = SWRDP_MIT.properties.conf
# mu_0 = 1010.0
# quarks_eos_file_name = ../eos.quarks.mit/mit_bag_model_B_130.csv
# hadrons_eos_file_name = ../eos.hadron.swrdp/eos_swrdp_l0085_L97a32.csv
#
# Range Quarks - P(mu) = EoSRange(inf_limit=0.0, sup_limit=2735.758620999)
# Range Hadrons - P(mu)  = EoSRange(inf_limit=939.981926581424, sup_limit=1999.9990472153156)
#
# Range = EoSRange(inf_limit=939.981926581424, sup_limit=1999.9990472153156)
#
# Transition pressure (hadrons) = [ 18.64798398]
# Transition pressure (quarks) = [ 18.64798398]
#
################################################################################
# energy density [MeV fm-3], pressure [MeV fm-3], chem_potential [fm-3]
5990.68270929, 1823.56094379, 1999.99904722
5978.27690281, 1819.42567496, 1998.93796902
5965.87109632, 1815.29040613, 1997.87689082
5953.46528983, 1811.1551373, 1996.81581262
5941.09068806, 1807.03026164, 1995.75473442
5928.7647405, 1802.92159253, 1994.69365622
5916.43879293, 1798.81292343, 1993.63257802
5904.11284537, 1794.70425432, 1992.57149982
5891.81367115, 1790.60452693, 1991.51042162
5879.56734896, 1786.52244938, 1990.44934343
5867.32102676, 1782.44037183, 1989.38826523
5855.07470456, 1778.35829427, 1988.32718703
5842.84948385, 1774.2832402, 1987.26610883
5830.68303042, 1770.22774573, 1986.20503063
5818.51657698, 1766.17225126, 1985.14395243
5806.35012355, 1762.11675679, 1984.08287423
5794.19757705, 1758.06590135, 1983.02179603
5782.11087596, 1754.03701092, 1981.96071784
5770.02417488, 1750.00812048, 1980.89963964
5757.9374738, 1745.97923005, 1979.83856144
5745.85608127, 1741.95210781, 1978.77748324
5733.84913485, 1737.94978247, 1977.71640504
5721.84218843, 1733.94745714, 1976.65532684
5709.83524202, 1729.94513181, 1975.59424864
5697.8282956, 1725.94280648, 1974.53317044
5685.89647613, 1721.96551411, 1973.47209224
5673.96940278, 1717.98980341, 1972.41101405
5662.04232943, 1714.0140927, 1971.34993585
5650.11525607, 1710.03838199, 1970.28885765
5638.25168356, 1706.08385383, 1969.22777945
5626.40436465, 1702.13474753, 1968.16670125
5614.55704574, 1698.18564122, 1967.10562305
5602.70972684, 1694.23653492, 1966.04454485
5590.91291063, 1690.30426925, 1964.98346665
5579.14534438, 1686.38175683, 1963.92238846
5567.37777814, 1682.45924442, 1962.86131026
5555.61021189, 1678.536732, 1961.80023206
5543.87865177, 1674.62622196, 1960.73915386
5532.19083486, 1670.73029259, 1959.67807566
5520.50301795, 1666.83436322, 1958.61699746
5508.81520104, 1662.93843385, 1957.55591926
5497.14741066, 1659.04916739, 1956.49484106
5485.53945364, 1655.17980994, 1955.43376286
5473.93149662, 1651.3104525, 1954.37268467
5462.32353961, 1647.44109505, 1953.31160647
5450.71803612, 1643.57255663, 1952.25052827
5439.18981799, 1639.72981726, 1951.18945007
5427.66159986, 1635.88707788, 1950.12837187
5416.13338174, 1632.04433851, 1949.06729367
5404.60516361, 1628.20159913, 1948.00621547
5393.14004186, 1624.37991404, 1946.94513727
5381.69155471, 1620.56378047, 1945.88405907
5370.24306756, 1616.7476469, 1944.82298088
5358.79458041, 1612.93151333, 1943.76190268
