#epsilon, Pressure, n_B, mu
1942, 321, 1.7, 1331.1764705882
1829, 287, 1.615, 1310.2167182663
1719, 256, 1.53, 1290.8496732026
1610, 227, 1.445, 1271.2802768166
1503, 200, 1.36, 1252.2058823529
1397, 175, 1.275, 1232.9411764706
1293, 152, 1.19, 1214.2857142857
1191, 131, 1.105, 1196.3800904977
1090, 113, 1.02, 1179.4117647059
990, 96, 0.935, 1161.4973262032
892, 82, 0.85, 1145.8823529412
795, 69, 0.765, 1129.4117647059
700, 58, 0.68, 1114.7058823529
606, 48, 0.595, 1099.1596638656
513, 40, 0.51, 1084.3137254902
422, 32, 0.425, 1068.2352941177
332, 20, 0.34, 1035.2941176471
246, 9, 0.255, 1000
162, 3, 0.17, 970.5882352941
