# energia,  pressao,  nB,  muB
5962.2869297862, 4222.0754441561, 4.5, 2263.1916386552
5939.6749088358, 4204.1889494469, 4.49, 2259.212440595
5917.1026836489, 4186.3388466914, 4.48, 2255.2324844488
5894.5702618208, 4168.525138493, 4.47, 2251.2517674097
5872.0776509842, 4150.7478274676, 4.46, 2247.2702866508
5849.6248587901, 4133.0069162379, 4.45, 2243.2880393323
5827.2118929198, 4115.3024074368, 4.44, 2239.3050225967
5804.8387610594, 4097.6343036995, 4.43, 2235.3212335796
5782.5054709694, 4080.0026076861, 4.42, 2231.3366693801
5760.2120304088, 4062.4073220565, 4.41, 2227.3513270926
5737.9584471814, 4044.8484494861, 4.4, 2223.3652037878
5715.7447291018, 4027.3259926543, 4.39, 2219.3782965262
5693.5708840149, 4009.839954251, 4.38, 2215.3906023503
5671.4369198304, 3992.3903369878, 4.37, 2211.4021182698
5649.3428444493, 3974.9771435741, 4.36, 2207.4128412928
5627.28866581, 3957.6003767321, 4.35, 2203.4227684055
5605.2743919047, 3940.2600392022, 4.34, 2199.4318965664
5583.3000307145, 3922.9561337216, 4.33, 2195.4402227326
5561.3655902851, 3905.6886630495, 4.32, 2191.4477438281
5539.471078689, 3888.4576299543, 4.31, 2187.4544567599
5517.61650401, 3871.2630372086, 4.3, 2183.4603584242
5495.8018743905, 3854.1048876049, 4.29, 2179.4654456864
5474.0271979794, 3836.9831839386, 4.28, 2175.4697154031
5452.2924829766, 3819.897929022, 4.27, 2171.473164403
5430.5977376061, 3802.8491256762, 4.26, 2167.4757894985
5408.9429701034, 3785.8367767266, 4.25, 2163.4775874908
5387.3281887842, 3768.8608850254, 4.24, 2159.4785551407
5365.7534019479, 3751.9214534202, 4.23, 2155.4786892094
5344.2186179471, 3735.0184847767, 4.22, 2151.4779864288
5322.7238451804, 3718.151981976, 4.21, 2147.4764435051
5301.2690920521, 3701.321947902, 4.2, 2143.4740571347
5279.8543670284, 3684.5283854594, 4.19, 2139.4708239815
5258.4796785809, 3667.7712975552, 4.18, 2135.4667406997
5237.1450352284, 3651.0506871127, 4.17, 2131.4618039169
5215.8504455289, 3634.3665570686, 4.16, 2127.4560102364
5194.5959180595, 3617.7189103664, 4.15, 2123.4493562467
5173.3814614498, 3601.1077499677, 4.14, 2119.4418385065
5152.207084348, 3584.5330788406, 4.13, 2115.4334535591
5131.0727954528, 3567.9948999706, 4.12, 2111.424197919
5109.9786034867, 3551.4932163516, 4.11, 2107.4140680829
5088.9245171952, 3535.0280309856, 4.1, 2103.40306053
5067.9105453816, 3518.5993468944, 4.09, 2099.3911717073
5046.9366968846, 3502.207167112, 4.08, 2095.3783980386
5026.0029805635, 3485.8514946799, 4.07, 2091.3647359311
5005.1094053192, 3469.5323326538, 4.06, 2087.3501817663
4984.2559800942, 3453.2496841038, 4.05, 2083.3347318994
4963.4427138585, 3437.0035521097, 4.04, 2079.318382666
4942.6696156263, 3420.7939397665, 4.03, 2075.3011303742
4921.9366944587, 3404.6208501854, 4.02, 2071.2829713036
4901.2439594202, 3388.4842864792, 4.01, 2067.2639017236
4880.5914196552, 3372.3842517878, 4, 2063.2439178611
4859.979084315, 3356.3207492539, 3.99, 2059.2230159309
4839.4069625968, 3340.2937820363, 3.98, 2055.2011921192
4818.8750637468, 3324.3033533104, 3.97, 2051.1784425824
4798.3833970309, 3308.3494662586, 3.96, 2047.154763459
4777.9319717799, 3292.4321240857, 3.95, 2043.1301508506
4757.5207973342, 3276.5513300002, 3.94, 2039.1046008452
4737.149883092, 3260.7070872303, 3.93, 2035.0781094964
4716.8192384861, 3244.8993990164, 3.92, 2031.0506728335
4696.5288729893, 3229.1282686127, 3.91, 2027.0222868585
4676.2787961269, 3213.3936992914, 3.9, 2022.9929475413
4656.0690174329, 3197.6956943284, 3.89, 2018.9626508377
4635.8995465049, 3182.0342570212, 3.88, 2014.9313926662
4615.7703929947, 3166.4093906859, 3.87, 2010.8991689115
4595.6815665651, 3150.821098643, 3.86, 2006.8659754433
4575.6330769375, 3135.2693842329, 3.85, 2002.8318080953
4555.6249338721, 3119.7542508096, 3.84, 1998.796662674
4535.6571471634, 3104.2757017393, 3.83, 1994.7605349601
4515.7297266627, 3088.8337404076, 3.82, 1990.7234206989
4495.8426822551, 3073.4283702118, 3.81, 1986.6853156098
4475.9960238737, 3058.0595945661, 3.8, 1982.6462153804
4456.1897614855, 3042.7274168964, 3.79, 1978.6061156721
4436.4239051194, 3027.4318406499, 3.78, 1974.565012108
4416.6984648186, 3012.1728692793, 3.77, 1970.5229002934
4397.0134507035, 2996.9505062635, 3.76, 1966.479775788
4377.3688729094, 2981.7647550872, 3.75, 1962.4356341334
4357.7647416364, 2966.615619257, 3.74, 1958.3904708306
4338.2010671346, 2951.5031022972, 3.73, 1954.3442813468
4318.6778596699, 2936.4272077377, 3.72, 1950.2970611297
4299.1951295827, 2921.3879391341, 3.71, 1946.2488055821
4279.752887244, 2906.3853000528, 3.7, 1942.1995100804
4260.3511430806, 2891.4192940794, 3.69, 1938.1491699642
4240.9899075731, 2876.4899248181, 3.68, 1934.097780536
4221.6691912124, 2861.5971958774, 3.67, 1930.0453370809
4202.389004575, 2846.7411108949, 3.66, 1925.9918348328
4183.1493582907, 2831.9216735264, 3.65, 1921.9372689891
4163.9502629953, 2817.1388874309, 3.64, 1917.8816347303
4144.7917293994, 2802.3927562926, 3.63, 1913.8249271903
4125.673768277, 2787.6832838178, 3.62, 1909.7671414613
4106.596390415, 2773.0104737177, 3.61, 1905.7082726151
4087.5596066893, 2758.3743297339, 3.6, 1901.6483156701
4068.5634279854, 2743.774855612, 3.59, 1897.5872656257
4049.6078652765, 2729.2120551274, 3.58, 1893.5251174278
4030.6929295546, 2714.6859320627, 3.57, 1889.4618659987
4011.8186318899, 2700.1964902272, 3.56, 1885.3975062114
3992.9849833838, 2685.7437334414, 3.55, 1881.3320329092
3974.191995204, 2671.3276655486, 3.54, 1877.2654408906
3955.4396785565, 2656.9482904057, 3.53, 1873.1977249212
3936.7280447169, 2642.6056118936, 3.52, 1869.1288797196
3918.0571049968, 2628.2996339059, 3.51, 1865.0588999723
3899.4268707676, 2614.0303603569, 3.5, 1860.9877803226
3880.8373534611, 2599.797795182, 3.49, 1856.9155153704
3862.2885645526, 2585.6019423317, 3.48, 1852.842099679
3843.7805155796, 2571.4428057781, 3.47, 1848.7675277672
3825.3132181269, 2557.3203895101, 3.46, 1844.6917941151
3806.8866838434, 2543.2346975384, 3.45, 1840.6148931564
3788.5009244378, 2529.1857338948, 3.44, 1836.5368192807
3770.1559516514, 2515.1735026228, 3.43, 1832.4575668444
3751.8517773103, 2501.1980077947, 3.42, 1828.3771301481
3733.588413284, 2487.2592534983, 3.41, 1824.295503454
3715.3658714924, 2473.3572438393, 3.4, 1820.212680983
3697.1841639416, 2459.4919829527, 3.39, 1816.1286568984
3679.0433026571, 2445.6634749809, 3.38, 1812.0434253351
3660.9432997514, 2431.8717240964, 3.37, 1807.9569803695
3642.884167388, 2418.1167344893, 3.36, 1803.8693160351
3624.8659177907, 2404.3985103708, 3.35, 1799.7804263181
3606.888563248, 2390.7170559748, 3.34, 1795.6903051551
3588.9521160946, 2377.0723755513, 3.33, 1791.5989464412
3571.0565887496, 2363.4644733794, 3.32, 1787.5063440123
3553.2019936628, 2349.8933537494, 3.31, 1783.4124916692
3535.388343389, 2336.3590209876, 3.3, 1779.3173831436
3517.6156505046, 2322.8614794283, 3.29, 1775.2210121356
3499.8839276689, 2309.4007334347, 3.28, 1771.1233722855
3482.1931876004, 2295.9767873904, 3.27, 1767.0244571841
3464.5434430911, 2282.5896457047, 3.26, 1762.9242603664
3446.9347069837, 2269.2393128047, 3.25, 1758.8227753208
3429.3669921982, 2255.9257931444, 3.24, 1754.7199954775
3411.8403117098, 2242.6490911969, 3.23, 1750.6159142176
3394.3546785762, 2229.4092114642, 3.22, 1746.5105248605
3376.9101059081, 2216.2061584669, 3.21, 1742.403820677
3359.5066068771, 2203.0399367468, 3.2, 1738.2957948851
3342.1441947497, 2189.9105508786, 3.19, 1734.1864406348
3324.8228828307, 2176.8180054508, 3.18, 1730.0757510325
3307.5426845191, 2163.7623050841, 3.17, 1725.9637191162
3290.3036132644, 2150.7434544176, 3.16, 1721.8503378739
3273.105682602, 2137.7614581198, 3.15, 1717.7356002282
3255.9489061264, 2124.8163208802, 3.14, 1713.619499047
3238.8332975135, 2111.9080474163, 3.13, 1709.502027134
3221.7588705038, 2099.0366424686, 3.12, 1705.383177235
3204.7256389135, 2086.2021108038, 3.11, 1701.262942033
3187.7336166369, 2073.4044572157, 3.1, 1697.1413141463
3170.7828176337, 2060.6436865214, 3.09, 1693.0182861343
3153.8732559414, 2047.9198035648, 3.08, 1688.8938504906
3137.0049456814, 2035.2328132191, 3.07, 1684.7679996408
3120.1779010329, 2022.5827203781, 3.06, 1680.6407259529
3103.3921362733, 2009.9695299693, 3.05, 1676.5120217193
3086.6476657422, 1997.3932469423, 3.04, 1672.3818791719
3069.9445038599, 1984.853876275, 3.03, 1668.2502904737
3053.2826651306, 1972.3514229742, 3.02, 1664.117247717
