# MIT Bag Model EoS B = 130, , ,
# epsilon [MeV/fm^3], pressure [MeV/fm^3], baryonic_density [1/fm^3], chem_potential[MeV]
20648.1896575, 6709.39655249, 10.0, 2735.75862099
20579.652935, 6686.55097832, 9.97493734336, 2733.47119633
20511.1735894, 6663.72452981, 9.94987468672, 2731.17993692
20442.7517172, 6640.91723905, 9.92481203008, 2728.88482665
20374.3874149, 6618.12913829, 9.89974937343, 2726.5858493
20306.0807797, 6595.3602599, 9.87468671679, 2724.28298853
20237.8319092, 6572.6106364, 9.84962406015, 2721.97622791
20169.6409013, 6549.88030042, 9.82456140351, 2719.66555089
20101.5078543, 6527.16928476, 9.79949874687, 2717.35094079
20033.4328671, 6504.47762235, 9.77443609023, 2715.03238084
19965.4160388, 6481.80534625, 9.74937343358, 2712.70985414
19897.457469, 6459.15248968, 9.72431077694, 2710.38334369
19829.557258, 6436.51908599, 9.6992481203, 2708.05283236
19761.715506, 6413.90516867, 9.67418546366, 2705.7183029
19693.9323141, 6391.31077136, 9.64912280702, 2703.37973795
19626.2077836, 6368.73592786, 9.62406015038, 2701.03712002
19558.5420163, 6346.18067209, 9.59899749373, 2698.6904315
19490.9351144, 6323.64503813, 9.57393483709, 2696.33965468
19423.3871807, 6301.12906022, 9.54887218045, 2693.98477168
19355.8983182, 6278.63277273, 9.52380952381, 2691.62576455
19288.4686306, 6256.15621019, 9.49874686717, 2689.26261516
19221.0982219, 6233.69940729, 9.47368421053, 2686.8953053
19153.7871966, 6211.26239885, 9.44862155388, 2684.5238166
19086.5356596, 6188.84521987, 9.42355889724, 2682.14813056
19019.3437165, 6166.44790548, 9.3984962406, 2679.76822857
18952.211473, 6144.070491, 9.37343358396, 2677.38409188
18885.1390356, 6121.71301187, 9.34837092732, 2674.99570159
18818.1265111, 6099.37550371, 9.32330827068, 2672.60303869
18751.1740069, 6077.05800229, 9.29824561404, 2670.206084
18684.2816306, 6054.76054355, 9.27318295739, 2667.80481824
18617.4494907, 6032.48316358, 9.24812030075, 2665.39922197
18550.677696, 6010.22589865, 9.22305764411, 2662.98927561
18483.9663555, 5987.98878518, 9.19799498747, 2660.57495944
18417.3155793, 5965.77185976, 9.17293233083, 2658.1562536
18350.7254774, 5943.57515914, 9.14786967419, 2655.73313808
18284.1961607, 5921.39872025, 9.12280701754, 2653.30559272
18217.7277405, 5899.24258017, 9.0977443609, 2650.87359723
18151.3203286, 5877.10677618, 9.07268170426, 2648.43713116
18084.9740371, 5854.99134571, 9.04761904762, 2645.99617389
18018.6889791, 5832.89632636, 9.02255639098, 2643.55070469
17952.4652677, 5810.82175592, 8.99749373434, 2641.10070263
17886.303017, 5788.76767233, 8.97243107769, 2638.64614666
17820.2023412, 5766.73411374, 8.94736842105, 2636.18701556
17754.1633554, 5744.72111846, 8.92230576441, 2633.72328794
17688.1861749, 5722.72872497, 8.89724310777, 2631.25494227
17622.2709158, 5700.75697194, 8.87218045113, 2628.78195684
17556.4176947, 5678.80589823, 8.84711779449, 2626.3043098
17490.6266286, 5656.87554288, 8.82205513784, 2623.8219791
17424.8978353, 5634.9659451, 8.7969924812, 2621.33494256
17359.2314329, 5613.07714431, 8.77192982456, 2618.84317781
17293.6275403, 5591.20918009, 8.74686716792, 2616.3466623
17228.0862767, 5569.36209223, 8.72180451128, 2613.84537333
17162.6077621, 5547.53592071, 8.69674185464, 2611.33928803
17097.1921171, 5525.73070569, 8.67167919799, 2608.82838332
17031.8394626, 5503.94648752, 8.64661654135, 2606.31263597
16966.5499203, 5482.18330677, 8.62155388471, 2603.79202256
16901.3236126, 5460.44120419, 8.59649122807, 2601.2665195
16836.1606621, 5438.72022072, 8.57142857143, 2598.736103
16771.0611925, 5417.0203975, 8.54636591479, 2596.2007491
16706.0253277, 5395.3417759, 8.52130325815, 2593.66043363
16641.0531924, 5373.68439746, 8.4962406015, 2591.11513226
16576.1449118, 5352.04830393, 8.47117794486, 2588.56482044
16511.3006119, 5330.43353729, 8.44611528822, 2586.00947345
16446.5204191, 5308.84013969, 8.42105263158, 2583.44906635
16381.8044605, 5287.26815352, 8.39598997494, 2580.88357403
16317.1528641, 5265.71762136, 8.3709273183, 2578.31297116
16252.565758, 5244.18858601, 8.34586466165, 2575.73723221
16188.0432715, 5222.6810905, 8.32080200501, 2573.15633146
16123.5855341, 5201.19517804, 8.29573934837, 2570.57024295
16059.1926763, 5179.7308921, 8.27067669173, 2567.97894054
15994.864829, 5158.28827634, 8.24561403509, 2565.38239788
15930.6021239, 5136.86737464, 8.22055137845, 2562.78058839
15866.4046934, 5115.46823112, 8.1954887218, 2560.17348528
15802.2726704, 5094.09089012, 8.17042606516, 2557.56106154
15738.2061886, 5072.7353962, 8.14536340852, 2554.94328995
15674.2053824, 5051.40179415, 8.12030075188, 2552.32014304
15610.270387, 5030.09012899, 8.09523809524, 2549.69159315
15546.4013379, 5008.80044597, 8.0701754386, 2547.05761235
15482.5983718, 4987.5327906, 8.04511278195, 2544.41817252
15418.8616257, 4966.28720858, 8.02005012531, 2541.77324528
15355.1912377, 4945.06374589, 7.99498746867, 2539.12280202
15291.5873462, 4923.86244872, 7.96992481203, 2536.46681388
15228.0500906, 4902.68336352, 7.94486215539, 2533.80525179
15164.5796109, 4881.52653697, 7.91979949875, 2531.1380864
15101.1760481, 4860.39201602, 7.89473684211, 2528.46528812
15037.8395435, 4839.27984785, 7.86967418546, 2525.78682712
14974.5702396, 4818.19007988, 7.84461152882, 2523.10267332
14911.3682794, 4797.1227598, 7.81954887218, 2520.41279636
14848.2338067, 4776.07793556, 7.79448621554, 2517.71716564
14785.166966, 4755.05565535, 7.7694235589, 2515.0157503
14722.1679029, 4734.05596762, 7.74436090226, 2512.3085192
14659.2367633, 4713.0789211, 7.71929824561, 2509.59544093
14596.3736943, 4692.12456476, 7.69423558897, 2506.87648383
14533.5788436, 4671.19294786, 7.66917293233, 2504.15161594
14470.8523597, 4650.28411989, 7.64411027569, 2501.42080503
14408.194392, 4629.39813066, 7.61904761905, 2498.6840186
14345.6050906, 4608.53503022, 7.59398496241, 2495.94122384
14283.0846067, 4587.69486889, 7.56892230576, 2493.19238767
14220.6330919, 4566.8776973, 7.54385964912, 2490.43747671
14158.250699, 4546.08356632, 7.51879699248, 2487.67645728
14095.9375814, 4525.31252715, 7.49373433584, 2484.90929543
14033.6938937, 4504.56463122, 7.4686716792, 2482.13595685
13971.5197909, 4483.83993029, 7.44360902256, 2479.35640699
13909.4154292, 4463.1384764, 7.41854636591, 2476.57061092
13847.3809656, 4442.46032187, 7.39348370927, 2473.77853346
13785.416558, 4421.80551933, 7.36842105263, 2470.98013906
13723.5223651, 4401.1741217, 7.34335839599, 2468.17539189
13661.6985466, 4380.5661822, 7.31829573935, 2465.36425575
13599.9452631, 4359.98175437, 7.29323308271, 2462.54669415
13538.2626761, 4339.42089203, 7.26817042607, 2459.72267023
13476.650948, 4318.88364932, 7.24310776942, 2456.89214682
13415.1102421, 4298.37008071, 7.21804511278, 2454.05508639
13353.6407229, 4277.88024096, 7.19298245614, 2451.21145107
13292.2425555, 4257.41418516, 7.1679197995, 2448.36120263
13230.9159061, 4236.97196871, 7.14285714286, 2445.50430248
13169.6609421, 4216.55364735, 7.11779448622, 2442.64071168
13108.4778314, 4196.15927715, 7.09273182957, 2439.77039093
13047.3667434, 4175.78891448, 7.06766917293, 2436.89330053
12986.3278482, 4155.44261607, 7.04260651629, 2434.00940044
12925.3613169, 4135.12043898, 7.01754385965, 2431.11865022
12864.4673218, 4114.8224406, 6.99248120301, 2428.22100903
12803.646036, 4094.54867868, 6.96741854637, 2425.31643567
12742.8976339, 4074.2992113, 6.94235588972, 2422.40488854
12682.2222907, 4054.07409691, 6.91729323308, 2419.4863256
12621.6201828, 4033.87339427, 6.89223057644, 2416.56070446
12561.0914877, 4013.69716255, 6.8671679198, 2413.62798228
12500.6363837, 3993.54546125, 6.84210526316, 2410.68811581
12440.2550507, 3973.41835023, 6.81704260652, 2407.74106138
12379.9476692, 3953.31588972, 6.79197994987, 2404.78677491
12319.714421, 3933.23814033, 6.76691729323, 2401.82521184
12259.5554891, 3913.18516304, 6.74185463659, 2398.85632722
12199.4710576, 3893.15701921, 6.71679197995, 2395.88007562
12139.4613117, 3873.15377056, 6.69172932331, 2392.89641117
12079.5264377, 3853.17547922, 6.66666666667, 2389.90528753
12019.6666231, 3833.22220771, 6.64160401003, 2386.90665793
11959.8820568, 3813.29401892, 6.61654135338, 2383.90047508
11900.1729285, 3793.39097616, 6.59147869674, 2380.88669124
11840.5394294, 3773.51314313, 6.5664160401, 2377.86525818
11780.9817518, 3753.66058393, 6.54135338346, 2374.83612718
11721.5000892, 3733.83336308, 6.51629072682, 2371.79924903
11662.0946365, 3714.03154551, 6.49122807018, 2368.75457399
11602.7655897, 3694.25519656, 6.46616541353, 2365.70205182
11543.513146, 3674.504382, 6.44110275689, 2362.64163178
11484.3375041, 3654.77916804, 6.41604010025, 2359.57326257
