# MIT Bag Model EoS B = 57, , ,
# epsilon [MeV/fm^3], pressure [MeV/fm^3], baryonic_density [1/fm^3], chem_potential[MeV]
20575.6896575, 6781.89655249, 10.0, 2735.75862099
20507.152935, 6759.05097832, 9.97493734336, 2733.47119633
20438.6735894, 6736.22452981, 9.94987468672, 2731.17993692
20370.2517172, 6713.41723905, 9.92481203008, 2728.88482665
20301.8874149, 6690.62913829, 9.89974937343, 2726.5858493
20233.5807797, 6667.8602599, 9.87468671679, 2724.28298853
20165.3319092, 6645.1106364, 9.84962406015, 2721.97622791
20097.1409013, 6622.38030042, 9.82456140351, 2719.66555089
20029.0078543, 6599.66928476, 9.79949874687, 2717.35094079
19960.9328671, 6576.97762235, 9.77443609023, 2715.03238084
19892.9160388, 6554.30534625, 9.74937343358, 2712.70985414
19824.957469, 6531.65248968, 9.72431077694, 2710.38334369
19757.057258, 6509.01908599, 9.6992481203, 2708.05283236
19689.215506, 6486.40516867, 9.67418546366, 2705.7183029
19621.4323141, 6463.81077136, 9.64912280702, 2703.37973795
19553.7077836, 6441.23592786, 9.62406015038, 2701.03712002
19486.0420163, 6418.68067209, 9.59899749373, 2698.6904315
19418.4351144, 6396.14503813, 9.57393483709, 2696.33965468
19350.8871807, 6373.62906022, 9.54887218045, 2693.98477168
19283.3983182, 6351.13277273, 9.52380952381, 2691.62576455
19215.9686306, 6328.65621019, 9.49874686717, 2689.26261516
19148.5982219, 6306.19940729, 9.47368421053, 2686.8953053
19081.2871966, 6283.76239885, 9.44862155388, 2684.5238166
19014.0356596, 6261.34521987, 9.42355889724, 2682.14813056
18946.8437165, 6238.94790548, 9.3984962406, 2679.76822857
18879.711473, 6216.570491, 9.37343358396, 2677.38409188
18812.6390356, 6194.21301187, 9.34837092732, 2674.99570159
18745.6265111, 6171.87550371, 9.32330827068, 2672.60303869
18678.6740069, 6149.55800229, 9.29824561404, 2670.206084
18611.7816306, 6127.26054355, 9.27318295739, 2667.80481824
18544.9494907, 6104.98316358, 9.24812030075, 2665.39922197
18478.177696, 6082.72589865, 9.22305764411, 2662.98927561
18411.4663555, 6060.48878518, 9.19799498747, 2660.57495944
18344.8155793, 6038.27185976, 9.17293233083, 2658.1562536
18278.2254774, 6016.07515914, 9.14786967419, 2655.73313808
18211.6961607, 5993.89872025, 9.12280701754, 2653.30559272
18145.2277405, 5971.74258017, 9.0977443609, 2650.87359723
18078.8203286, 5949.60677618, 9.07268170426, 2648.43713116
18012.4740371, 5927.49134571, 9.04761904762, 2645.99617389
17946.1889791, 5905.39632636, 9.02255639098, 2643.55070469
17879.9652677, 5883.32175592, 8.99749373434, 2641.10070263
17813.803017, 5861.26767233, 8.97243107769, 2638.64614666
17747.7023412, 5839.23411374, 8.94736842105, 2636.18701556
17681.6633554, 5817.22111846, 8.92230576441, 2633.72328794
17615.6861749, 5795.22872497, 8.89724310777, 2631.25494227
17549.7709158, 5773.25697194, 8.87218045113, 2628.78195684
17483.9176947, 5751.30589823, 8.84711779449, 2626.3043098
