# MIT Bag Model EoS B = 90, , ,
# epsilon [MeV/fm^3], pressure [MeV/fm^3], baryonic_density [1/fm^3], chem_potential[MeV]
20608.1896575, 6749.39655249, 10.0, 2735.75862099
20539.652935, 6726.55097832, 9.97493734336, 2733.47119633
20471.1735894, 6703.72452981, 9.94987468672, 2731.17993692
20402.7517172, 6680.91723905, 9.92481203008, 2728.88482665
20334.3874149, 6658.12913829, 9.89974937343, 2726.5858493
20266.0807797, 6635.3602599, 9.87468671679, 2724.28298853
20197.8319092, 6612.6106364, 9.84962406015, 2721.97622791
20129.6409013, 6589.88030042, 9.82456140351, 2719.66555089
20061.5078543, 6567.16928476, 9.79949874687, 2717.35094079
19993.4328671, 6544.47762235, 9.77443609023, 2715.03238084
19925.4160388, 6521.80534625, 9.74937343358, 2712.70985414
19857.457469, 6499.15248968, 9.72431077694, 2710.38334369
19789.557258, 6476.51908599, 9.6992481203, 2708.05283236
19721.715506, 6453.90516867, 9.67418546366, 2705.7183029
19653.9323141, 6431.31077136, 9.64912280702, 2703.37973795
19586.2077836, 6408.73592786, 9.62406015038, 2701.03712002
19518.5420163, 6386.18067209, 9.59899749373, 2698.6904315
19450.9351144, 6363.64503813, 9.57393483709, 2696.33965468
19383.3871807, 6341.12906022, 9.54887218045, 2693.98477168
19315.8983182, 6318.63277273, 9.52380952381, 2691.62576455
19248.4686306, 6296.15621019, 9.49874686717, 2689.26261516
19181.0982219, 6273.69940729, 9.47368421053, 2686.8953053
19113.7871966, 6251.26239885, 9.44862155388, 2684.5238166
19046.5356596, 6228.84521987, 9.42355889724, 2682.14813056
18979.3437165, 6206.44790548, 9.3984962406, 2679.76822857
18912.211473, 6184.070491, 9.37343358396, 2677.38409188
18845.1390356, 6161.71301187, 9.34837092732, 2674.99570159
18778.1265111, 6139.37550371, 9.32330827068, 2672.60303869
18711.1740069, 6117.05800229, 9.29824561404, 2670.206084
18644.2816306, 6094.76054355, 9.27318295739, 2667.80481824
18577.4494907, 6072.48316358, 9.24812030075, 2665.39922197
18510.677696, 6050.22589865, 9.22305764411, 2662.98927561
18443.9663555, 6027.98878518, 9.19799498747, 2660.57495944
18377.3155793, 6005.77185976, 9.17293233083, 2658.1562536
18310.7254774, 5983.57515914, 9.14786967419, 2655.73313808
18244.1961607, 5961.39872025, 9.12280701754, 2653.30559272
18177.7277405, 5939.24258017, 9.0977443609, 2650.87359723
18111.3203286, 5917.10677618, 9.07268170426, 2648.43713116
18044.9740371, 5894.99134571, 9.04761904762, 2645.99617389
17978.6889791, 5872.89632636, 9.02255639098, 2643.55070469
17912.4652677, 5850.82175592, 8.99749373434, 2641.10070263
17846.303017, 5828.76767233, 8.97243107769, 2638.64614666
17780.2023412, 5806.73411374, 8.94736842105, 2636.18701556
